trial_id,density,column,start_x_frac,goal_x_frac,seed,start_x,start_y,goal_x,goal_y,aorrt_reached,K_edges,control_cost_aorrt,control_cost_scp,control_cost_pct_decrease,risk_cost_aorrt,risk_cost_scp,risk_cost_pct_decrease,log_survive_aorrt,log_survive_scp,log_survive_delta,scp_converged,scp_iters,scp_n_solves,scp_stop_reason,plan_time_s,scp_time_s,total_time_s
6_C_371867,6,C,0.5,0.5,371867,3.0,0.78,3.0,5.22,True,62,28.238431,20.415671,-27.703,24.255342,18.543963,-23.547,-22.5692,-14.8967,7.6726,False,30,43,max_iters,11.1305,30.6336,42.3655
6_C_494148,6,C,0.5,0.5,494148,3.0,0.78,3.0,5.22,True,60,24.980313,15.501864,-37.944,20.534201,13.405542,-34.716,-18.4277,-8.9872,9.4406,False,30,39,max_iters,10.3604,23.7996,34.6939
6_R_299673,6,R,0.85,0.15,299673,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,10.9974,,11.1855
6_R_926314,6,R,0.85,0.15,926314,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,9.4333,,9.6205
6_R_381668,6,R,0.85,0.15,381668,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,11.1867,,11.3704
6_R_37366,6,R,0.85,0.15,37366,5.1,0.78,0.9,5.22,True,149,13.054066,16.610504,27.244,62.661673,48.652419,-22.357,-64.6625,-42.9402,21.7223,False,30,41,max_iters,13.9356,66.2754,81.0591
6_R_261966,6,R,0.85,0.15,261966,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,10.2952,,10.4823
6_R_800712,6,R,0.85,0.15,800712,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,11.6303,,11.8188
6_R_358831,6,R,0.85,0.15,358831,5.1,0.78,0.9,5.22,True,157,24.202407,20.081684,-17.026,103.930908,87.024143,-16.267,-139.8279,-100.5639,39.2639,False,30,39,max_iters,10.3124,65.7086,76.9234
6_R_487244,6,R,0.85,0.15,487244,5.1,0.78,0.9,5.22,True,63,30.965202,26.639875,-13.968,33.511403,30.730646,-8.298,-38.3678,-33.2465,5.1213,False,30,39,max_iters,12.6537,29.0293,42.2189
6_R_813857,6,R,0.85,0.15,813857,5.1,0.78,0.9,5.22,True,94,36.578467,24.448853,-33.161,36.918977,26.600827,-27.948,-33.6382,-20.8393,12.7989,False,30,40,max_iters,12.3039,40.025,53.0221
6_R_137845,6,R,0.85,0.15,137845,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,12.2183,,12.4089
6_R_758723,6,R,0.85,0.15,758723,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,9.3004,,9.4884
6_R_967016,6,R,0.85,0.15,967016,5.1,0.78,0.9,5.22,True,86,30.827246,23.386507,-24.137,39.530787,36.914448,-6.618,-39.5634,-36.0504,3.5131,False,21,34,trust_floor_rho,11.5949,29.6252,41.8369
6_R_453353,6,R,0.85,0.15,453353,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,11.9052,,12.0903
6_R_59345,6,R,0.85,0.15,59345,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,9.4893,,9.6828
6_R_601514,6,R,0.85,0.15,601514,5.1,0.78,0.9,5.22,True,65,24.925859,19.148297,-23.179,31.532198,28.707313,-8.959,-34.6253,-29.4007,5.2245,False,30,41,max_iters,11.5354,29.8015,41.935
6_R_866935,6,R,0.85,0.15,866935,5.1,0.78,0.9,5.22,True,114,19.081404,18.883801,-1.036,56.892977,41.107905,-27.745,-65.9662,-37.8927,28.0736,False,30,41,max_iters,11.8586,49.3743,61.9916
6_R_98489,6,R,0.85,0.15,98489,5.1,0.78,0.9,5.22,True,98,45.915999,33.433389,-27.186,50.961176,45.993861,-9.747,-60.0655,-47.7986,12.267,False,30,39,max_iters,10.1098,40.522,51.3106
6_R_281239,6,R,0.85,0.15,281239,5.1,0.78,0.9,5.22,True,82,23.051541,19.821673,-14.012,40.217303,38.740482,-3.672,-43.5166,-40.6551,2.8615,False,30,42,max_iters,11.5641,40.4052,52.6605
6_R_155272,6,R,0.85,0.15,155272,5.1,0.78,0.9,5.22,True,115,14.715781,19.398921,31.824,71.770266,46.768731,-34.836,-104.1404,-49.4014,54.739,False,30,40,max_iters,11.4669,48.2298,60.4525
6_R_281962,6,R,0.85,0.15,281962,5.1,0.78,0.9,5.22,True,68,18.917493,18.999384,0.433,47.943745,41.987481,-12.423,-68.961,-53.6286,15.3324,False,30,40,max_iters,11.5205,29.9658,42.0607
6_R_371867,6,R,0.85,0.15,371867,5.1,0.78,0.9,5.22,True,72,24.447168,23.221661,-5.013,29.361214,19.24519,-34.454,-31.1985,-14.4826,16.7159,False,30,41,max_iters,11.6179,32.8432,45.0816
6_R_494148,6,R,0.85,0.15,494148,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,10.3566,,10.5497
7_L_299673,7,L,0.15,0.85,299673,0.9,0.78,5.1,5.22,True,167,24.326605,21.266373,-12.58,41.933762,36.167378,-13.751,-30.1564,-23.211,6.9454,False,30,41,max_iters,10.8703,75.7568,87.6202
7_L_926314,7,L,0.15,0.85,926314,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,11.7257,,11.9266
7_L_381668,7,L,0.15,0.85,381668,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.8629,,11.0563
7_L_37366,7,L,0.15,0.85,37366,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,9.6359,,9.8223
7_L_261966,7,L,0.15,0.85,261966,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,9.8602,,10.0486
7_L_800712,7,L,0.15,0.85,800712,0.9,0.78,5.1,5.22,True,107,14.970884,18.730648,25.114,46.087951,30.974958,-32.792,-53.7097,-27.9147,25.7949,False,30,41,max_iters,12.0771,47.1779,59.9694
7_L_358831,7,L,0.15,0.85,358831,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,11.1511,,11.3457
7_L_487244,7,L,0.15,0.85,487244,0.9,0.78,5.1,5.22,True,55,23.030306,19.873502,-13.707,28.045815,23.645622,-15.689,-34.8868,-24.1102,10.7766,False,30,40,max_iters,11.7521,26.6886,38.9455
7_L_813857,7,L,0.15,0.85,813857,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,9.7353,,9.9263
7_L_137845,7,L,0.15,0.85,137845,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,11.1208,,11.3128
7_L_758723,7,L,0.15,0.85,758723,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.6488,,10.8443
7_L_967016,7,L,0.15,0.85,967016,0.9,0.78,5.1,5.22,True,96,15.95163,14.757302,-7.487,43.283505,34.061467,-21.306,-50.166,-33.2815,16.8845,False,30,41,max_iters,11.7659,41.0211,53.4412
7_L_453353,7,L,0.15,0.85,453353,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,9.4084,,9.5976
7_L_59345,7,L,0.15,0.85,59345,0.9,0.78,5.1,5.22,True,63,18.019386,16.627183,-7.726,22.994706,18.530482,-19.414,-24.327,-18.2689,6.0581,False,26,40,trust_floor_rho,10.7958,26.9271,38.2571
7_L_601514,7,L,0.15,0.85,601514,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.1177,,10.304
7_L_866935,7,L,0.15,0.85,866935,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.8762,,11.0664
7_L_98489,7,L,0.15,0.85,98489,0.9,0.78,5.1,5.22,True,93,29.225646,23.863824,-18.346,64.040096,50.626173,-20.946,-106.1918,-58.6411,47.5507,False,30,41,max_iters,10.9129,42.3174,53.9479
7_L_281239,7,L,0.15,0.85,281239,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.3757,,10.5691
7_L_155272,7,L,0.15,0.85,155272,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,11.1666,,11.3541
7_L_281962,7,L,0.15,0.85,281962,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,9.9754,,10.1683
7_L_371867,7,L,0.15,0.85,371867,0.9,0.78,5.1,5.22,True,108,34.630921,27.233511,-21.361,67.26212,45.80392,-31.902,-86.5519,-47.2382,39.3138,False,30,39,max_iters,9.7568,46.441,56.8963
7_L_494148,7,L,0.15,0.85,494148,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.3419,,10.5339
7_C_299673,7,C,0.5,0.5,299673,3.0,0.78,3.0,5.22,True,68,18.096146,16.537777,-8.612,32.768983,19.226984,-41.326,-38.8353,-16.7343,22.101,False,30,41,max_iters,11.1674,29.2527,40.9763
7_C_926314,7,C,0.5,0.5,926314,3.0,0.78,3.0,5.22,True,86,9.91818,9.325176,-5.979,20.234057,17.867939,-11.694,-14.322,-11.573,2.749,False,27,40,trust_floor_rho,11.6787,35.4434,47.7461
7_C_381668,7,C,0.5,0.5,381668,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,10.1375,,10.3274
7_C_37366,7,C,0.5,0.5,37366,3.0,0.78,3.0,5.22,True,106,9.369875,11.93343,27.36,51.313522,31.606137,-38.406,-55.3149,-25.5231,29.7918,False,30,40,max_iters,11.3545,44.4488,56.5428
7_C_261966,7,C,0.5,0.5,261966,3.0,0.78,3.0,5.22,True,78,10.874906,15.002259,37.953,64.188765,38.432312,-40.126,-120.9623,-41.8028,79.1595,False,30,40,max_iters,11.199,31.7207,43.5088
7_C_800712,7,C,0.5,0.5,800712,3.0,0.78,3.0,5.22,True,71,14.323076,13.847565,-3.32,37.145441,31.514635,-15.159,-43.137,-32.7063,10.4307,False,23,35,trust_floor_rho,11.5024,29.1106,41.1838
7_C_358831,7,C,0.5,0.5,358831,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,10.61,,10.7967
7_C_487244,7,C,0.5,0.5,487244,3.0,0.78,3.0,5.22,True,64,32.174588,26.214238,-18.525,33.608213,30.674237,-8.73,-38.1679,-32.221,5.9469,False,30,41,max_iters,11.9808,31.7862,44.3568
7_C_813857,7,C,0.5,0.5,813857,3.0,0.78,3.0,5.22,True,40,13.764589,16.545147,20.201,23.373426,16.654074,-28.748,-35.1671,-16.7056,18.4615,False,30,41,max_iters,11.3662,20.7097,32.5194
7_C_137845,7,C,0.5,0.5,137845,3.0,0.78,3.0,5.22,True,59,28.335139,28.945954,2.156,40.08972,29.390631,-26.688,-59.8914,-33.1736,26.7178,False,30,41,max_iters,11.3553,25.4846,37.3835
7_C_758723,7,C,0.5,0.5,758723,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,11.7998,,11.9895
7_C_967016,7,C,0.5,0.5,967016,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,9.8789,,10.0682
7_C_453353,7,C,0.5,0.5,453353,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,10.6247,,10.8161
7_C_59345,7,C,0.5,0.5,59345,3.0,0.78,3.0,5.22,True,82,37.485289,25.38255,-32.287,29.210693,16.309777,-44.165,-31.353,-9.9516,21.4013,False,30,39,max_iters,12.1611,34.5361,47.3153
7_C_601514,7,C,0.5,0.5,601514,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,10.3451,,10.5402
7_C_866935,7,C,0.5,0.5,866935,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,10.9316,,11.1191
7_C_98489,7,C,0.5,0.5,98489,3.0,0.78,3.0,5.22,True,56,17.152316,15.183919,-11.476,26.346249,17.689515,-32.858,-30.4851,-15.4047,15.0804,False,30,43,max_iters,11.4857,24.9675,36.9805
7_C_281239,7,C,0.5,0.5,281239,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,10.6089,,10.7984
7_C_155272,7,C,0.5,0.5,155272,3.0,0.78,3.0,5.22,True,83,41.875517,35.488651,-15.252,44.066234,36.610935,-16.918,-50.5228,-37.4312,13.0916,False,30,42,max_iters,11.056,37.7283,49.4535
7_C_281962,7,C,0.5,0.5,281962,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,10.3413,,10.5334
7_C_371867,7,C,0.5,0.5,371867,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,11.7497,,11.9667
7_C_494148,7,C,0.5,0.5,494148,3.0,0.78,3.0,5.22,True,48,12.986103,12.784009,-1.556,12.360609,11.076722,-10.387,-8.8512,-7.4032,1.448,False,20,32,trust_floor_rho,10.646,18.5695,29.704
7_R_299673,7,R,0.85,0.15,299673,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,9.5898,,9.7777
7_R_926314,7,R,0.85,0.15,926314,5.1,0.78,0.9,5.22,True,110,24.715445,28.965675,17.197,57.871301,36.583429,-36.785,-75.8903,-31.484,44.4063,False,30,40,max_iters,10.8085,46.497,58.1095
7_R_381668,7,R,0.85,0.15,381668,5.1,0.78,0.9,5.22,True,47,22.014804,20.552213,-6.644,24.748404,22.726031,-8.172,-27.8862,-24.5057,3.3804,False,30,43,max_iters,11.4695,24.5476,36.4705
7_R_37366,7,R,0.85,0.15,37366,5.1,0.78,0.9,5.22,True,121,14.3646,17.740577,23.502,46.240048,37.364916,-19.194,-46.0934,-32.4064,13.687,False,26,37,trust_floor_rho,12.3495,49.0818,62.2285
7_R_261966,7,R,0.85,0.15,261966,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,10.5843,,10.769
7_R_800712,7,R,0.85,0.15,800712,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,10.7689,,10.9548
7_R_358831,7,R,0.85,0.15,358831,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,9.0922,,9.29
7_R_487244,7,R,0.85,0.15,487244,5.1,0.78,0.9,5.22,True,50,24.522752,25.032985,2.081,33.05678,25.265935,-23.568,-46.8437,-28.3882,18.4555,False,23,34,trust_floor_rho,11.4693,19.0449,31.0056
