x,y,theta,v_b,omega,t
1.200000000000000178e+00,-1.921353428178777334e-21,1.190289949682531656e+00,-7.841932201512931904e-22,2.858468947540232630e-22,0.000000000000000000e+00
1.204644088792680368e+00,1.149398918709607607e-02,1.183309704135669715e+00,7.363571263353302365e-02,-4.171370824823672496e-02,3.000000000000000444e-01
1.234662069693149178e+00,8.264741995783990436e-02,1.164143997201217973e+00,1.197643650151500178e-01,-1.679935999594411519e-02,1.050000000000000044e+00
1.259361319704294768e+00,1.350932386758480486e-01,1.039900015556041168e+00,2.817099860593999527e-02,-2.090806864075430704e-01,1.950000000000000178e+00
1.307133315186327804e+00,1.994554026502506350e-01,8.466795947651444276e-01,1.704036940649080178e-01,-3.464710879520900288e-01,2.650000000000000355e+00
1.372526817336260141e+00,2.595585823815167448e-01,6.282676355333163265e-01,7.094898043368283447e-02,-1.950114101774008957e-01,3.500000000000000444e+00
1.476394944861758374e+00,3.223170503161816858e-01,4.784654207999506359e-01,2.206011523393148210e-01,-2.132377227277940102e-01,4.250000000000000000e+00
1.603384466051490209e+00,3.794358837597230361e-01,3.742647503936716857e-01,2.773994687424392036e-01,-1.737615321350202968e-01,4.799999999999999822e+00
1.760718290203396652e+00,4.386327627710759902e-01,3.714506894634104772e-01,2.733039967096347334e-01,9.975952991842096385e-02,5.400000000000000355e+00
1.937889291312150375e+00,5.223886596221564149e-01,5.467192201917639993e-01,1.545242157393155735e-01,2.158372586185850206e-01,6.400000000000000355e+00
1.990133747677192089e+00,5.603345377367087154e-01,7.819030360475694996e-01,3.147230677175116148e-02,2.867284199205250017e-01,7.300000000000000711e+00
2.010549379378558932e+00,5.853317144766644331e-01,9.716222324913532660e-01,5.486992458853569982e-02,2.604921509993533002e-01,8.000000000000000000e+00
2.018516371477815152e+00,5.980701950992894922e-01,1.057508402442084661e+00,2.602083746739059650e-02,1.785820043626765996e-01,8.400000000000000355e+00
2.016932445021918596e+00,5.937452339553701552e-01,1.200022694688445579e+00,-2.157887481834142376e-02,1.797804984333642997e-01,9.200000000000001066e+00
2.017929521645570823e+00,5.969759557962159846e-01,1.260575053584502392e+00,2.376448654322482409e-02,6.532060636918579632e-02,9.750000000000001776e+00
2.019770475728021264e+00,6.029389003944402026e-01,1.285250007934878536e+00,9.975958617621464436e-03,5.926488512616000237e-02,1.015000000000000213e+01
2.016722547142756561e+00,5.919233071279594860e-01,1.304204712937465649e+00,-3.289428620135146503e-02,1.173770539570647906e-02,1.080000000000000249e+01
2.011263147057265499e+00,5.701388114824684772e-01,1.355633906091451735e+00,-3.491817611725216847e-02,1.073391304490897979e-01,1.150000000000000178e+01
2.012580057627796126e+00,5.833025248744170277e-01,1.492849780126488834e+00,3.473473781226266155e-02,1.653763682038690286e-01,1.245000000000000107e+01
2.014221648980791812e+00,6.115636663902019876e-01,1.517639292315359434e+00,9.314867810744718868e-02,-1.287041334553739799e-02,1.285000000000000142e+01
2.016696612060941085e+00,7.091788921637800502e-01,1.592464706111076156e+00,1.102181201382246012e-01,1.345171115806365336e-01,1.375000000000000178e+01
2.009522829219925644e+00,8.181572902337257425e-01,1.670530868151428816e+00,1.849589521413896320e-01,9.833409729301308133e-02,1.445000000000000107e+01
1.997174110097572397e+00,9.207863619573054548e-01,1.706140289752177797e+00,2.637865943108375633e-01,6.556928671306576362e-02,1.490000000000000036e+01
1.984331996074571558e+00,1.006156354717240742e+00,1.737433589371278009e+00,1.801575276364632827e-01,8.647825043796203426e-02,1.530000000000000071e+01
1.971851273935640636e+00,1.074182142846005883e+00,1.765529870080596142e+00,1.677063367888067813e-01,5.803617379768666318e-02,1.570000000000000107e+01
1.929691079028865275e+00,1.263048843921519282e+00,1.812006886614778489e+00,2.871638125828625543e-01,6.005306235782712637e-02,1.650000000000000000e+01
1.879382252999912239e+00,1.477198881008026099e+00,1.763480705993855091e+00,2.146928809097352897e-01,-1.179154493876348603e-01,1.739999999999999858e+01
1.853988108387891742e+00,1.715988316432876415e+00,1.573920411133909125e+00,2.958579775288197045e-01,-2.847079924109921500e-01,1.829999999999999716e+01
1.858047752877419301e+00,1.811639619368153653e+00,1.483549982326668237e+00,2.561599743908527516e-01,-2.352327572747965057e-01,1.864999999999999858e+01
1.880740926146270420e+00,1.948991275742582241e+00,1.319057558559676435e+00,1.865389208342914384e-01,-2.623899292208193290e-01,1.929999999999999716e+01
1.935270711984799830e+00,2.107365989179972754e+00,1.179286004224574524e+00,2.756625367772602142e-01,-1.606934043185719307e-01,1.999999999999999645e+01
1.973657834309070269e+00,2.193907400852501688e+00,1.129144285259313207e+00,2.078595616611674524e-01,-9.734069635535744225e-02,2.039999999999999503e+01
2.041599703960638834e+00,2.324780431563619576e+00,1.053026450880533815e+00,1.710281496156385028e-01,-9.252092687291278705e-02,2.119999999999999574e+01
2.079622688334012093e+00,2.389380690334459434e+00,1.028863435629207679e+00,1.998593609621041600e-01,-3.691099390359871280e-02,2.159999999999999432e+01
2.167872588923998034e+00,2.536813062402250463e+00,1.046745105800797715e+00,1.568245970400891920e-01,4.252344348279648439e-02,2.259999999999999432e+01
2.259274096399881415e+00,2.704533302930781424e+00,1.096777964117425341e+00,2.081677777576241284e-01,5.459379349017698391e-02,2.359999999999999432e+01
