x,y,theta,v_b,omega,t
1.199999999999999956e+00,-5.438118750338348294e-21,1.410883203636677408e+00,-1.359746918974007021e-21,1.736342013173731789e-21,0.000000000000000000e+00
1.208614096739452748e+00,3.761888191935848502e-02,1.260420170339947132e+00,4.949130383407202710e-02,-2.634607327440298685e-01,9.500000000000000666e-01
1.210388460670945188e+00,4.287664732979955262e-02,1.163475429521065863e+00,-1.108482460640056871e-02,-2.248688645723307122e-01,1.350000000000000089e+00
1.228090553138709407e+00,7.215769261179813543e-02,9.442922485723657111e-01,7.235437673628725141e-02,-3.199697736001255177e-01,2.150000000000000355e+00
1.267673946947184938e+00,1.151086235309634331e-01,7.153807465637053165e-01,8.152882231920506595e-02,-2.954039795082240571e-01,2.900000000000000355e+00
1.336355041917818065e+00,1.642798438841906739e-01,5.531743452181848708e-01,1.464020465165422613e-01,-1.910185791017180168e-01,3.600000000000000533e+00
1.490402743932718543e+00,2.489786824216406458e-01,4.820769364129390833e-01,1.906785372788017130e-01,-1.464491689422193176e-02,4.600000000000000533e+00
1.711231564837004671e+00,3.656927982161785051e-01,4.961835307357125302e-01,3.026867319310571069e-01,3.111467243420898074e-02,5.550000000000000711e+00
1.902960040208209413e+00,4.823168075814479594e-01,6.320368576082651124e-01,2.340461970109141421e-01,2.445634463789596313e-01,6.400000000000000355e+00
1.966670027607120508e+00,5.362713421103727507e-01,8.312821736391875493e-01,3.872543371964740078e-02,2.442827626621103809e-01,7.200000000000000178e+00
1.976558513372652426e+00,5.490997352472226645e-01,1.056017440131534091e+00,7.771581479719751398e-03,2.310200775622643088e-01,8.150000000000000355e+00
1.987948181660945890e+00,5.757108735260696442e-01,1.243119824578748478e+00,5.080846899878434242e-02,2.377459519468014815e-01,8.950000000000001066e+00
1.999092728705491151e+00,6.171725313449148986e-01,1.357979873021294637e+00,9.656770610337576943e-02,1.886118026131195224e-01,9.500000000000001776e+00
2.010204925432360401e+00,6.858035359576323264e-01,1.454373161508092371e+00,1.470016685061476536e-01,1.667549247694268544e-01,1.005000000000000249e+01
2.015186477059563330e+00,7.447813080700625976e-01,1.517510095819886384e+00,1.489166015715055469e-01,1.507546071677112465e-01,1.045000000000000284e+01
2.010080594996982661e+00,9.279328167425573426e-01,1.675270355973429215e+00,2.007844487352486718e-01,1.643863314172555046e-01,1.145000000000000284e+01
1.995382116491135616e+00,1.029486661421552318e+00,1.752134461791453601e+00,2.484666643103937145e-01,1.773419828125770703e-01,1.190000000000000213e+01
1.973059440643723628e+00,1.129184110421263210e+00,1.832051287826816699e+00,1.743265726058139398e-01,1.451288342755730210e-01,1.240000000000000213e+01
1.936074486538534423e+00,1.254478590823982165e+00,1.869056341744221417e+00,2.818029347544202534e-01,1.332091364269624191e-02,1.295000000000000284e+01
1.881198540053924839e+00,1.446144528263871187e+00,1.811982339900948924e+00,3.190878570699520189e-01,-1.669800607289695649e-01,1.360000000000000320e+01
1.839567776004617405e+00,1.635043362817964585e+00,1.781754921015370030e+00,3.229621379041136553e-01,2.262982839387502748e-02,1.420000000000000284e+01
1.785389153337906487e+00,1.945246684444081664e+00,1.668919070595193288e+00,3.296762167059451576e-01,-2.151634180449352174e-01,1.515000000000000213e+01
1.772364690246835961e+00,2.135178847091761867e+00,1.633007490400326001e+00,3.060863032535253714e-01,3.405544509587855873e-02,1.575000000000000178e+01
1.758268554142661699e+00,2.359194104551653570e+00,1.623947793264055584e+00,1.835411122207472878e-01,-2.849333326268699285e-02,1.675000000000000000e+01
1.751289400288080333e+00,2.500076444597473913e+00,1.622084828954153402e+00,1.427831577722985246e-01,1.099491753752764554e-02,1.764999999999999858e+01
1.744307740082217562e+00,2.614996514226469504e+00,1.643260071593803273e+00,2.556455828315262191e-01,5.857565223642489938e-02,1.819999999999999929e+01
1.729516036169994386e+00,2.785562713197851981e+00,1.667762969646083615e+00,3.059756115344320904e-01,2.909337398448288287e-02,1.880000000000000071e+01
1.712430564904891650e+00,2.959188391952093156e+00,1.664692811966732355e+00,3.246920007932425634e-01,-3.037668667624562890e-02,1.935000000000000142e+01
1.699999999999999956e+00,3.100000000000000089e+00,1.654530393683304235e+00,7.699650600065158224e-02,-1.761834272489247845e-03,2.025000000000000000e+01
