x,y,theta,v_b,omega,t
1.999999999999999778e+00,-9.999999999999999167e-02,1.570796326794896336e+00,-6.805833124059450428e-20,-9.174956421504292100e-21,0.000000000000000000e+00
1.999611896097993169e+00,-8.880683546359850744e-02,1.651302088617568664e+00,1.211802343496697423e-02,1.235451400504237046e-01,9.500000000000000666e-01
2.000162124878501313e+00,-9.310366015493261316e-02,1.706279858604087485e+00,-1.952349428755251193e-02,8.559697099947070897e-02,1.500000000000000000e+00
2.000791840424031243e+00,-9.742522256039848338e-02,1.724373652077092256e+00,-1.571066851994639205e-02,6.171065549179444859e-02,1.750000000000000000e+00
2.005341021830305159e+00,-1.204369655099821607e-01,1.805153007269230558e+00,-3.788622766435493366e-02,1.225244448056083124e-01,2.549999999999999822e+00
2.012156629095978921e+00,-1.438297821842890456e-01,1.911144465260934400e+00,-2.703648297910642498e-02,1.379511299170119165e-01,3.349999999999999645e+00
2.009563835519580621e+00,-1.378756489121057693e-01,1.981044858574412260e+00,3.174471961419891852e-02,8.839352066878686243e-02,3.999999999999999556e+00
1.999024775473953186e+00,-1.159975074562382413e-01,2.061933156541253975e+00,2.469804294688974708e-02,9.054053250702132072e-02,4.899999999999999467e+00
1.995622049066847703e+00,-1.098252266887970036e-01,2.086993398857617699e+00,1.705249796480533958e-02,5.759227097357909331e-02,5.249999999999999112e+00
1.987752950814598352e+00,-9.660411825896884908e-02,2.126071118939955706e+00,2.737384670240987708e-02,6.158632212613177059e-02,5.899999999999999467e+00
1.971086201012083539e+00,-7.134829625966672417e-02,2.179786353543783584e+00,4.297820300702900886e-02,7.003615150728620398e-02,6.699999999999999289e+00
1.952577825275522150e+00,-4.608255122691768541e-02,2.224828419337320451e+00,4.590990381403989296e-02,6.121259712643527945e-02,7.399999999999999467e+00
1.945547421380460884e+00,-3.705397545501327994e-02,2.239908654364414442e+00,3.227532224062667349e-02,4.179060154857269088e-02,7.699999999999999289e+00
1.919110788418547431e+00,-5.088578430643790444e-03,2.282073951591685468e+00,6.170639981488787451e-02,5.839844122592972864e-02,8.500000000000000000e+00
1.881946568046842794e+00,3.606017276410945077e-02,2.327056713881665573e+00,7.337862058358500528e-02,5.516545127328965209e-02,9.300000000000000711e+00
1.869834744248562330e+00,4.871655562730536210e-02,2.342021015636442716e+00,4.694650419257678092e-02,4.576447638449290811e-02,9.600000000000001421e+00
1.859483050533189186e+00,5.925206452891048498e-02,2.351630042576494439e+00,6.904153872193220798e-02,3.250223276235388037e-02,9.850000000000001421e+00
1.832266502277701825e+00,8.615399540991219851e-02,2.373458687428989577e+00,6.051066983422541401e-02,3.870087181046771851e-02,1.045000000000000107e+01
1.812872287073253208e+00,1.048080445862932808e-01,2.365254687970389735e+00,1.171453282284846270e-02,-2.938929981411333298e-02,1.145000000000000107e+01
1.790961073736345499e+00,1.263240645912222793e-01,2.370801571716480094e+00,6.123564997995287196e-02,2.878433870460101948e-02,1.215000000000000036e+01
1.756731175348415830e+00,1.588210827270366832e-01,2.393673966255666752e+00,7.086341307152294045e-02,3.486551316273608925e-02,1.284999999999999964e+01
1.775986573927976764e+00,1.408540858914968663e-01,2.384603091772906414e+00,-6.684538565910778940e-02,-3.017881617634961267e-02,1.384999999999999964e+01
1.771657486274638371e+00,1.449792397275292133e-01,2.383348640126035090e+00,4.992681301022611901e-02,1.332108636408893369e-02,1.454999999999999893e+01
1.708155718601600981e+00,2.036013860151928145e-01,2.409256162056115258e+00,1.106793756578256654e-01,3.393706030119897354e-02,1.549999999999999822e+01
1.671918784390424184e+00,2.356363827549371737e-01,2.427044526286086246e+00,7.356068923325252695e-02,3.125980507596426428e-02,1.604999999999999716e+01
1.639786301051410211e+00,2.628712303789534355e-01,2.452902853305838349e+00,2.862274010214160835e-02,2.341028016937546710e-02,1.704999999999999716e+01
1.673212460442550231e+00,2.363160632903647251e-01,2.479256789597209742e+00,-7.223856724582554401e-02,2.839613087954556692e-02,1.804999999999999716e+01
