x,y,theta,v_b,omega,t
2.000000000000000000e+00,2.000000000000000389e-01,1.570796326794896558e+00,-2.101349520725367665e-21,-1.377207297234604498e-21,0.000000000000000000e+00
2.000025051513520058e+00,1.923369058651882291e-01,1.577356403061742185e+00,-2.524517377687657618e-02,2.179388009229762252e-02,5.000000000000000000e-01
2.000113355004779603e+00,1.837579803595537908e-01,1.584845130871362251e+00,-2.397713320590292782e-02,2.109772618897181456e-02,8.500000000000000888e-01
2.001531497686838357e+00,1.426929718155945659e-01,1.626466747805410673e+00,-5.620273513215148786e-02,5.856324518765926995e-02,1.750000000000000000e+00
2.006913603388196243e+00,8.364049382147113743e-02,1.698981679483643425e+00,-6.108024463528288761e-02,7.870780755055384326e-02,2.750000000000000000e+00
2.009322443052944163e+00,6.616477114622537625e-02,1.714778777300246748e+00,-7.800142436309231986e-02,5.069992921835558136e-02,3.000000000000000000e+00
2.012307245488782037e+00,4.656832821019009361e-02,1.730028740126181797e+00,-4.102352039024188823e-02,3.811719178497310900e-02,3.350000000000000089e+00
2.013907385503404868e+00,3.690648792981818249e-02,1.740201915300225721e+00,-2.623738318412202272e-02,3.060895675594893159e-02,3.650000000000000355e+00
2.018579425761027668e+00,1.082168388501826388e-02,1.752177920821551105e+00,-3.347699960718593382e-02,5.926214741801679071e-03,4.500000000000000000e+00
2.022558758714580129e+00,-9.886299899436404998e-03,1.773530517717057498e+00,-3.256234902050954283e-02,4.821414944918203660e-02,5.150000000000000355e+00
2.027631539460487353e+00,-3.235906360361324313e-02,1.813397380129900371e+00,-3.336135065763039254e-02,6.175343362148678905e-02,5.850000000000000533e+00
2.032978225888257384e+00,-5.232961894348761578e-02,1.851301963068414214e+00,-2.731802338386112028e-02,4.988743702093981908e-02,6.550000000000000711e+00
2.051791941011086529e+00,-1.126948892698438065e-01,1.888545803917307087e+00,-1.040240322445109000e-01,4.579397103203100561e-02,7.350000000000000533e+00
2.073711447649309925e+00,-1.716787555570400692e-01,1.988361225870848736e+00,-4.813543874855841231e-02,1.217909564802628908e-01,8.350000000000001421e+00
2.079407867200401494e+00,-1.839179705666667552e-01,2.025730381706450256e+00,-2.336963990361910770e-02,7.296815072057269425e-02,8.750000000000001776e+00
2.081464980082396110e+00,-1.880449450685547363e-01,2.041031530372241942e+00,-1.443465144745786737e-02,5.168968841427533378e-02,9.000000000000001776e+00
2.094644511086568794e+00,-2.128134542869356827e-01,2.073747136411848491e+00,-7.333609202553238726e-02,6.528819603600967414e-02,9.550000000000002487e+00
2.113125012870757491e+00,-2.437401102231088468e-01,2.169413339002073560e+00,-2.663424330993147127e-02,1.244608017308415776e-01,1.045000000000000284e+01
2.084037971953615731e+00,-2.047198022519413907e-01,2.220745906218565491e+00,8.864577612301956233e-02,2.133814421608124304e-02,1.140000000000000213e+01
2.053756610511257019e+00,-1.663079445848550664e-01,2.270086227827741610e+00,3.686396461337961700e-02,7.020464047430384491e-02,1.230000000000000249e+01
2.030227938393056153e+00,-1.394093643470749044e-01,2.303642272554008219e+00,8.339895815240409849e-02,5.536816007938218098e-02,1.285000000000000320e+01
1.995713916017649359e+00,-1.029229753805075281e-01,2.361868963548660272e+00,3.884419434612129685e-02,6.376228308930154132e-02,1.380000000000000249e+01
1.986217648772195421e+00,-9.375862895137535014e-02,2.387485389480592524e+00,2.307481480438781235e-02,5.225495963619368467e-02,1.425000000000000178e+01
1.959058426291248711e+00,-6.968204712749292984e-02,2.441372781361280886e+00,4.498972816911395861e-02,5.883566254658104816e-02,1.520000000000000107e+01
1.922910493794698805e+00,-3.976090414071954682e-02,2.448153348769025239e+00,5.480305547822124368e-02,-1.745618607059758187e-02,1.610000000000000142e+01
1.909938394513410964e+00,-2.888090833093592477e-02,2.437173191268731109e+00,3.333433838030532698e-02,-3.460620309078751150e-02,1.650000000000000000e+01
1.898719954669646715e+00,-1.915838419442433826e-02,2.416105980166961320e+00,2.714023249631842064e-02,-4.712958887417188769e-02,1.700000000000000000e+01
1.880566348275231281e+00,-2.973322262767219039e-03,2.420780396793321021e+00,3.076579210320841071e-02,3.289069951100623973e-02,1.780000000000000071e+01
1.854348997581682257e+00,2.009134220487876835e-02,2.410987938693717858e+00,4.514196576686711065e-02,-3.410330258476314269e-02,1.865000000000000213e+01
1.830105777406139778e+00,4.188427273775117282e-02,2.415374298313267332e+00,3.777083935611225823e-02,2.576276456314311250e-02,1.945000000000000284e+01
1.805214435387863192e+00,6.350742556307871489e-02,2.437167402067041078e+00,4.295833568176340295e-02,2.801116121946013379e-02,2.025000000000000355e+01
1.789774219867101390e+00,7.642168323198926527e-02,2.454093424873483809e+00,3.260154944328055165e-02,3.248868883691895942e-02,2.080000000000000426e+01
1.747912834481053057e+00,1.097174832012950546e-01,2.481849605255931568e+00,6.293294093623133523e-02,2.570499129418037446e-02,2.180000000000000426e+01
1.674459350339138286e+00,1.654905120351907177e-01,2.499562352739440829e+00,1.138074101683533013e-01,1.538824203470402080e-02,2.275000000000000355e+01
1.622670088185951487e+00,2.038869335572766339e-01,2.507364677867348401e+00,6.338470299724681400e-02,6.807893194198572778e-03,2.355000000000000426e+01
1.635601690198477121e+00,1.941616335942706606e-01,2.494553812177773722e+00,-4.916684354184225336e-02,-2.254484870211993092e-02,2.455000000000000426e+01
1.614472542222436635e+00,2.098324084384863841e-01,2.510598841268965931e+00,5.888564411792106962e-02,3.244857401256838469e-02,2.555000000000000426e+01
1.595902304994897047e+00,2.232585779407336990e-01,2.519828447755493528e+00,9.025189164674965459e-02,2.949095543565131289e-02,2.585000000000000497e+01
1.579403730849517018e+00,2.349733743138909814e-01,2.529778574581354356e+00,4.993329863816383524e-02,3.594623217717945324e-02,2.615000000000000568e+01
1.522988059038696829e+00,2.740151090103732923e-01,2.535717620088962398e+00,7.691295497816562354e-02,-7.633537971967124976e-03,2.715000000000000568e+01
1.465362539920000540e+00,3.144304867905373113e-01,2.522833720051057771e+00,7.270144838786166130e-02,-1.633656131226460598e-02,2.810000000000000497e+01
1.449569054536538060e+00,3.257661699208193040e-01,2.513358261993388520e+00,4.269420298457835689e-02,-3.507283268165353740e-02,2.845000000000000639e+01
1.484223244422089083e+00,2.991557215785758950e-01,2.474211840172532373e+00,-8.398647036132714239e-02,-4.619048589657271525e-02,2.940000000000000568e+01
1.495428399158976962e+00,2.902442947584955579e-01,2.464395156670694309e+00,-3.592621525835472396e-02,-3.354875819599817399e-02,2.965000000000000568e+01
1.484187154887696813e+00,2.999094338255276493e-01,2.424590072412581954e+00,4.070710003315641118e-02,-4.892152338286497731e-02,3.055000000000000426e+01
1.448895839751924264e+00,3.318189796000755587e-01,2.393251882708518963e+00,5.085765978377064511e-02,-2.342269121512275190e-02,3.155000000000000426e+01
1.441025071010122449e+00,3.391829729530659865e-01,2.372170293785072381e+00,-4.396300815219653622e-03,-3.101557789454428490e-02,3.230000000000000426e+01
1.436354705099153195e+00,3.437453168826284933e-01,2.368758114802200332e+00,1.962793974389311427e-02,9.405712390079175658e-03,3.290000000000000568e+01
1.415690674841302510e+00,3.642281840811721905e-01,2.347281897719910582e+00,3.752158524460312561e-02,-4.017719447710411951e-02,3.380000000000000426e+01
1.408686594082632082e+00,3.714548968637066961e-01,2.332228814034146502e+00,2.225931024842773068e-02,-4.510640984759591715e-02,3.415000000000000568e+01
1.400710958092236780e+00,3.799892779956387523e-01,2.314048820359621672e+00,2.071768336203661312e-02,-2.541478744456269340e-02,3.470000000000000284e+01
1.396575486354531215e+00,3.845065954151985488e-01,2.311992909190327072e+00,1.491516519577587747e-02,8.616523740555194488e-03,3.505000000000000426e+01
1.378730330210531818e+00,4.040486297572316032e-01,2.307279523500954888e+00,3.362131089248381749e-02,-1.128012511372500533e-02,3.600000000000000711e+01
1.373408679817315292e+00,4.099371486180385937e-01,2.303740390678124417e+00,2.097064771438823111e-02,-1.219486502184233788e-02,3.630000000000000426e+01
1.353518690496383625e+00,4.316312739690095768e-01,2.328695241518954351e+00,3.216350269531684236e-02,4.123731135078793214e-02,3.730000000000000426e+01
1.334822903408866335e+00,4.506556503429710592e-01,2.367363222161483982e+00,3.088756057061401578e-02,4.757338128635547891e-02,3.815000000000000568e+01
1.304518663801297551e+00,4.791523626301374961e-01,2.401641078340607471e+00,4.652513572732745739e-02,2.842687169313985046e-02,3.915000000000000568e+01
1.275765010423001611e+00,5.047297101626336824e-01,2.428291177348536056e+00,4.460662727644106040e-02,3.279458785784534341e-02,4.000000000000000711e+01
1.223209681515506020e+00,5.488964882829682201e-01,2.454034349965388273e+00,1.081932155435315623e-01,3.203331447605568816e-02,4.080000000000000426e+01
1.191025764114745922e+00,5.751758578179576586e-01,2.456883679077093152e+00,1.003643604997939559e-01,-1.091188648623355774e-02,4.120000000000000284e+01
1.156332770440966051e+00,6.039341801861499714e-01,2.436230849837390799e+00,5.075532933424910936e-02,-4.395494161772261349e-02,4.185000000000000142e+01
1.124494981700685070e+00,6.314564005313721973e-01,2.428016224068605400e+00,4.864083211470860563e-02,7.399236116272822975e-03,4.270000000000000284e+01
1.098504294990183761e+00,6.536132291061284016e-01,2.446832456337324047e+00,4.351573742268402545e-02,3.450726317817297273e-02,4.345000000000000284e+01
1.082205008441892824e+00,6.671074596982280447e-01,2.450605499635811313e+00,7.294365496647070568e-02,-7.119588276266255143e-03,4.380000000000000426e+01
