x,y,theta,v_b,omega,t
7.500000000000001110e-01,4.703026576615682315e-22,1.570796326794896558e+00,1.738587855312808927e-22,-4.368253902109820652e-22,0.000000000000000000e+00
7.498808123078414267e-01,1.408570917729873653e-02,1.587838890768603184e+00,4.545726780916039406e-02,5.606359339035392464e-02,5.000000000000000000e-01
7.493306569196325206e-01,3.334751456675422859e-02,1.610597920932021587e+00,5.009412148880042909e-02,5.749982123019442559e-02,9.000000000000000222e-01
7.488016867756952522e-01,4.476115417863513884e-02,1.623567788032141301e+00,4.223037968256645319e-02,4.733764430090422332e-02,1.149999999999999911e+00
7.482106393177097026e-01,5.488109499789833173e-02,1.634593826588111476e+00,3.922823495081606548e-02,4.149220727225709504e-02,1.399999999999999911e+00
7.438976231045183463e-01,1.052952406470671759e-01,1.676233942699625779e+00,1.002576100292434796e-01,7.759594239709559360e-02,2.049999999999999822e+00
7.337769129538396218e-01,1.826067369587615896e-01,1.722745653265137067e+00,1.322797697772664094e-01,6.833562925832460666e-02,2.699999999999999734e+00
7.151814147855948267e-01,2.855079589933161022e-01,1.776470733073645114e+00,1.594564872160105229e-01,8.248914803496169845e-02,3.399999999999999911e+00
6.974756189918054350e-01,3.628194649337014854e-01,1.814422883701871658e+00,1.344658072125043957e-01,5.981114997654019688e-02,3.950000000000000178e+00
6.857280767599289728e-01,4.081263453676239883e-01,1.834244903295245699e+00,1.045130260039126568e-01,4.215076359375094506e-02,4.350000000000000533e+00
6.653229176698750580e-01,4.799502382232515574e-01,1.859999131471288036e+00,1.371635485896138262e-01,4.347500026472093243e-02,4.950000000000001066e+00
6.299094523898309816e-01,5.923174359940711620e-01,1.890923862170667435e+00,1.873827045088321819e-01,4.513425908778529588e-02,5.650000000000001243e+00
5.698937787509098518e-01,7.633993709894325574e-01,1.923146536767710746e+00,2.499946223675225399e-01,3.802141075322394009e-02,6.450000000000001066e+00
5.106802352547562540e-01,9.197090865829105066e-01,1.940479590506995811e+00,2.319183615154398470e-01,1.660239974829611637e-02,7.150000000000001243e+00
4.832334887504749488e-01,9.900461867067679167e-01,1.944855197737482166e+00,1.572245224157907684e-01,6.975030514701363246e-03,7.550000000000001599e+00
4.274531409475442745e-01,1.132080162330331374e+00,1.943505925868688644e+00,2.315689142393894950e-01,-7.415721575829076380e-03,8.300000000000000711e+00
3.910882193135367113e-01,1.225741315308614521e+00,1.938123028036344841e+00,1.797761574626318970e-01,-1.275610450466611694e-02,8.800000000000000711e+00
3.083009835633264695e-01,1.460990365873073848e+00,1.869924093052121483e+00,3.073836778765458577e-01,-1.130239904106281196e-01,9.750000000000000000e+00
2.493223695581803512e-01,1.737605576662383244e+00,1.662045044584048670e+00,3.149130813957133901e-01,-3.170059032505917473e-01,1.065000000000000036e+01
2.615655137549007248e-01,2.019961812506650300e+00,1.398999635407716324e+00,3.156123386623672644e-01,-2.760627729571911715e-01,1.155000000000000071e+01
3.165417647388002464e-01,2.233411952265700773e+00,1.252954909264921701e+00,2.535935681402597397e-01,-1.230948252278168259e-01,1.235000000000000142e+01
3.531966142963617883e-01,2.336437130061133960e+00,1.207963276572285860e+00,1.631365342337198765e-01,-5.326732101658186030e-02,1.290000000000000213e+01
3.699999790342839434e-01,2.379742199060209007e+00,1.193673865099938114e+00,1.099629687435042386e-01,-3.132306737906030703e-02,1.325000000000000178e+01
3.826298644589956610e-01,2.411202416746014876e+00,1.184585198469021883e+00,8.706300823540014111e-02,-2.191300101913589912e-02,1.360000000000000142e+01
