x,y,theta,v_b,omega,t
5.000000000000000000e-01,5.000000000000000000e-01,1.570796326794896558e+00,-6.776007358670067936e-20,-2.429057844136527114e-21,0.000000000000000000e+00
5.000086640396660398e-01,5.091768763279495014e-01,1.568907580657779244e+00,5.454212245150820426e-02,-1.122891746266796269e-02,3.000000000000000444e-01
5.001268002103227417e-01,5.348983075023101552e-01,1.563467642412678993e+00,8.787922859367809647e-02,-1.883335487685977236e-02,6.500000000000001332e-01
5.015091420682085133e-01,6.191423118343921672e-01,1.545222500704641178e+00,1.556962475046673455e-01,-3.425307782664520351e-02,1.300000000000000266e+00
5.080608313635488482e-01,7.948160066806698731e-01,1.525218017515884927e+00,2.170692981637227792e-01,-1.668257076746866227e-02,2.200000000000000178e+00
5.132995174556119755e-01,8.982720782640315482e-01,1.514307894861894876e+00,1.692085488003835791e-01,-2.158211275581656610e-02,2.750000000000000000e+00
5.240301840148851031e-01,1.048898355189004095e+00,1.482012202480437413e+00,1.818874069681600536e-01,-4.688798626776379680e-02,3.600000000000000089e+00
5.432459441613195494e-01,1.219948776427855153e+00,1.435293351446525145e+00,1.807866701145295629e-01,-5.029732171373507005e-02,4.549999999999999822e+00
5.703571661432270679e-01,1.389012893224831124e+00,1.388482009901617076e+00,1.800040572095845670e-01,-4.875885433578934502e-02,5.500000000000000000e+00
6.071824152565237220e-01,1.565488828490669615e+00,1.342203205827592560e+00,1.948760197118802051e-01,-4.889613428460532624e-02,6.450000000000000178e+00
6.470738732105875135e-01,1.723358600829122400e+00,1.305286206101843094e+00,2.086369831897052496e-01,-4.479818709783561781e-02,7.250000000000000000e+00
6.861772368842112835e-01,1.859139080682289613e+00,1.275720627488433845e+00,1.977591217823343461e-01,-4.061022675846487351e-02,7.950000000000000178e+00
7.328777041188100361e-01,2.004538124318294479e+00,1.244276309641860534e+00,2.071082940957991170e-01,-4.278724041830673369e-02,8.699999999999999289e+00
7.800502216023756930e-01,2.137417634461975524e+00,1.215056389173645002e+00,1.979867782260546494e-01,-4.102873215059325146e-02,9.399999999999998579e+00
8.314399779552612557e-01,2.269383263437252829e+00,1.183198899750156796e+00,1.834171832379516975e-01,-4.313769860898101355e-02,1.014999999999999858e+01
9.053189614255346962e-01,2.440821989449267093e+00,1.145810345873766734e+00,2.404090514916386589e-01,-4.540491708085590133e-02,1.099999999999999822e+01
9.394901922363340097e-01,2.514785177346113176e+00,1.130125316498721499e+00,1.766349631711740809e-01,-3.434411698009699754e-02,1.139999999999999858e+01
9.833088234074296441e-01,2.605678935509367466e+00,1.114017569286393172e+00,1.627968295404448040e-01,-2.205191330196532712e-02,1.199999999999999822e+01
1.055459910348901076e+00,2.745658283486539730e+00,1.070640387385979109e+00,1.665157073940126964e-01,-5.744278788829727117e-02,1.294999999999999751e+01
1.162500279009254012e+00,2.926154087222647249e+00,1.000093156242169989e+00,2.321329425391222834e-01,-7.998602139078997419e-02,1.394999999999999751e+01
1.215252794210865961e+00,3.005682505284143602e+00,9.715267199994788161e-01,1.977615539286645963e-01,-5.108146666736863156e-02,1.439999999999999680e+01
1.255994640577401844e+00,3.064202531108478844e+00,9.540196617606290230e-01,1.639116944706290879e-01,-3.822911508015881116e-02,1.479999999999999716e+01
1.309463166447189852e+00,3.137900006651689111e+00,9.320980918327809173e-01,1.666194078458517469e-01,-4.095171554248075441e-02,1.534999999999999787e+01
1.393412830193735852e+00,3.246508402102680879e+00,8.918810485771726526e-01,1.924171163618256242e-01,-6.130748198769811474e-02,1.609999999999999787e+01
1.489819657958174615e+00,3.359705646215126240e+00,8.367867613586110753e-01,1.818880983497581649e-01,-7.309629494683275719e-02,1.689999999999999858e+01
1.620113330986062916e+00,3.493942684420985767e+00,7.639332399631146853e-01,2.220380712275771551e-01,-8.704366152000952983e-02,1.779999999999999716e+01
1.688887968860157685e+00,3.557568801799880998e+00,7.302076727156492364e-01,1.638486645271735320e-01,-5.325162568086232173e-02,1.829999999999999716e+01
1.807384450329564185e+00,3.657935766932684185e+00,6.738149522717604700e-01,1.928190592925396740e-01,-7.450031582882751802e-02,1.914999999999999858e+01
1.955205383726555279e+00,3.766989675285111083e+00,5.951705176876471715e-01,2.290297175147356090e-01,-1.053758920232663876e-01,2.000000000000000000e+01
2.045526899294223266e+00,3.825176468823834774e+00,5.513948829212249603e-01,1.732676282047419802e-01,-6.116122886919563711e-02,2.055000000000000071e+01
2.214859173937049341e+00,3.917342842026126259e+00,4.324053778245294244e-01,2.349320532995321786e-01,-1.846553055141596789e-01,2.144999999999999929e+01
2.358176827202217662e+00,3.973512841144860808e+00,3.164362974946851037e-01,2.109812155010288015e-01,-1.515640386375276261e-01,2.214999999999999858e+01
2.450000000000000178e+00,4.000000000000000000e+00,2.445567230872412734e-01,5.723096454187104332e-02,-4.302503409393747952e-02,2.304999999999999716e+01
