x,y,theta,v_b,omega,t
7.500000000000000000e-01,5.979338531148128036e-21,1.570796326794896558e+00,2.187731979233816050e-21,-5.011958309614578475e-21,0.000000000000000000e+00
7.496576372438272795e-01,2.305428654342781339e-02,1.600847335456442533e+00,5.405993698055103908e-02,7.262658175250440162e-02,6.500000000000000222e-01
7.492168561993283182e-01,3.469340469006217120e-02,1.616413906914650811e+00,4.069184082558377491e-02,5.389636382973996692e-02,9.000000000000000222e-01
7.484377949146038267e-01,4.892616527990922143e-02,1.634237767251973450e+00,4.080220350539166818e-02,4.872605091763088092e-02,1.250000000000000000e+00
7.429187563290563512e-01,1.088187091369190590e-01,1.689208397610776125e+00,1.012074351375497339e-01,8.734965466477967455e-02,2.000000000000000000e+00
7.294589428847553236e-01,1.965142435321645953e-01,1.754710344095354202e+00,1.281155291416300468e-01,8.795638408117753548e-02,2.750000000000000000e+00
7.183297685144801603e-01,2.508537234090552070e-01,1.789975532872681629e+00,9.975508356399848120e-02,5.863530308418657411e-02,3.250000000000000000e+00
6.767800696065385813e-01,4.096293613213002338e-01,1.860651173664543689e+00,2.109007558530208715e-01,8.555097977927528241e-02,4.200000000000000178e+00
6.545249618532184011e-01,4.804975257941148103e-01,1.888716454240418674e+00,1.332735870806229517e-01,4.566160716670861208e-02,4.650000000000000355e+00
6.109500302752894907e-01,6.055331190862484059e-01,1.921014421065007749e+00,1.840023489728369599e-01,3.787943605308867479e-02,5.450000000000000178e+00
5.805960147874524857e-01,6.865762881141844742e-01,1.936632916665619986e+00,1.399619044429088466e-01,2.229105310407494475e-02,6.000000000000000000e+00
5.680179092723239842e-01,7.191442613083852686e-01,1.942026630553059130e+00,9.803561572758417997e-02,1.462138042612196910e-02,6.299999999999999822e+00
5.287060231070317418e-01,8.185320204113052389e-01,1.951801956196076659e+00,1.686172137226675527e-01,1.207210595067278840e-02,7.049999999999999822e+00
4.834510953781838705e-01,9.307269079337534556e-01,1.955318572814697786e+00,1.753636156871453966e-01,8.948945581778611647e-04,7.750000000000000000e+00
4.371770884344147179e-01,1.045618992061567498e+00,1.950732705551776469e+00,1.778486579037458215e-01,-1.091091891447291962e-02,8.449999999999999289e+00
3.863613742913875049e-01,1.175514548360284461e+00,1.934911707692807958e+00,1.906288462973808606e-01,-2.699686875586182477e-02,9.199999999999999289e+00
3.726964793089087569e-01,1.211678637798061953e+00,1.929115959400613090e+00,1.255117442305396791e-01,-1.997827273814407195e-02,9.449999999999999289e+00
3.572623928026233964e-01,1.253380775388658774e+00,1.921132424555084262e+00,1.007698753379706602e-01,-1.989171727707698956e-02,9.849999999999999645e+00
3.326557375000687156e-01,1.322507081544146201e+00,1.903772638314155330e+00,1.359371282477402076e-01,-3.486539959339101519e-02,1.044999999999999929e+01
3.036232171006569835e-01,1.410575524922546453e+00,1.873003382969675501e+00,1.661811845002914012e-01,-6.218708245973643411e-02,1.104999999999999893e+01
2.605438135676247935e-01,1.584718632844154707e+00,1.735051729611647886e+00,2.564388643075889984e-01,-2.652203946570628745e-01,1.184999999999999964e+01
2.493223694410613145e-01,1.694001763647984715e+00,1.606728445935303284e+00,1.618577739556528450e-01,-2.057589869172384012e-01,1.240000000000000036e+01
2.500093373725623680e-01,1.768998102899986824e+00,1.519654399986148707e+00,1.201440978498854312e-01,-1.234379990683848460e-01,1.295000000000000107e+01
2.566518037019390741e-01,1.846878713674606098e+00,1.456382399627037527e+00,1.211118208860804818e-01,-8.068763692535448062e-02,1.360000000000000142e+01
2.636477780607074939e-01,1.899764838157664615e+00,1.422825315546427438e+00,9.728916932479528268e-02,-5.775463825058257256e-02,1.410000000000000142e+01
2.682264651358503560e-01,1.928758208382173489e+00,1.405581135541286386e+00,7.393167894920793515e-02,-4.283123691992414550e-02,1.445000000000000107e+01
2.723250612359627842e-01,1.952342166542905044e+00,1.391951847134465625e+00,6.429922237778934457e-02,-3.599967011101885828e-02,1.480000000000000071e+01
2.749697401959217413e-01,1.966641395550691618e+00,1.383900442275385778e+00,5.323912663745394847e-02,-2.911748450245114916e-02,1.505000000000000071e+01
2.936744272875726480e-01,2.055137156680994170e+00,1.341701041234502734e+00,1.460158330203422394e-01,-6.706256742175183139e-02,1.585000000000000142e+01
3.020019668216867292e-01,2.089569116657759462e+00,1.325240543957750150e+00,9.646468376276969015e-02,-4.517745222031659125e-02,1.615000000000000213e+01
3.071169494497885122e-01,2.109568536443532150e+00,1.315579668229956756e+00,7.138399207657020185e-02,-3.330131887279817043e-02,1.640000000000000213e+01
3.312975779717400315e-01,2.195637873625079894e+00,1.278838592469351276e+00,1.466471850208620198e-01,-5.889339056014411544e-02,1.715000000000000213e+01
3.803524881896216958e-01,2.342188522073586743e+00,1.216243003571869652e+00,2.012025935692662859e-01,-8.393396008469096448e-02,1.800000000000000355e+01
4.269555035911303809e-01,2.458825854391006427e+00,1.165850453274799747e+00,1.666109610071178915e-01,-6.390822457779055110e-02,1.870000000000000284e+01
4.517110233982386536e-01,2.514764191121294790e+00,1.142545204954545701e+00,1.146762467693682452e-01,-4.302585067309437628e-02,1.915000000000000213e+01
4.686883968635930930e-01,2.551227466659176546e+00,1.127595573015378827e+00,9.041539900244305317e-02,-3.322151911460949347e-02,1.955000000000000071e+01
4.772180608454092421e-01,2.569029582755154806e+00,1.120372022810531831e+00,6.971859823242797238e-02,-2.535748893563512588e-02,1.980000000000000071e+01
5.678640907376554248e-01,2.741116968254934783e+00,1.049800685142438406e+00,2.601284366979595419e-01,-1.027426491384027946e-01,2.080000000000000071e+01
5.987875017044941295e-01,2.793523291003435549e+00,1.025608941200176538e+00,1.581941519003756402e-01,-6.256948154011811314e-02,2.110000000000000142e+01
6.429520698354475039e-01,2.863843818323609458e+00,9.950755996270047588e-01,1.463445193121328536e-01,-5.078339917693923400e-02,2.165000000000000213e+01
7.599416437123898138e-01,3.027061534111321173e+00,8.948613551085060625e-01,2.886385318933494815e-01,-1.733170121655135398e-01,2.250000000000000355e+01
8.505201994990634340e-01,3.129952525640181005e+00,7.989641664736152338e-01,2.218868738199719359e-01,-1.725080873254397906e-01,2.305000000000000426e+01
