x,y,theta,v_b,omega,t
5.000000000000000000e-01,5.000000000000000000e-01,1.570796326794896558e+00,-4.691496941231773661e-22,7.499210092164530972e-22,0.000000000000000000e+00
4.999458258777944031e-01,5.172415132932755011e-01,1.577072417451529818e+00,5.103668610093544528e-02,1.855627307378908061e-02,5.500000000000000444e-01
4.995004216263947416e-01,5.498859203331339929e-01,1.592799624095188493e+00,4.967336748514666195e-02,2.746337840070735975e-02,1.200000000000000178e+00
4.968014948432090128e-01,6.216119313317578499e-01,1.622659967256727009e+00,1.023529332565800698e-01,3.913660273183505039e-02,2.050000000000000266e+00
4.941773645171460005e-01,6.709261952673322149e-01,1.615993283223368993e+00,5.143384335575518218e-02,-3.710595087322322849e-02,2.750000000000000444e+00
4.933476431035611620e-01,6.913374478037495052e-01,1.609377574108574072e+00,4.112682934760971548e-02,6.061195754481185334e-04,3.200000000000000622e+00
4.928421843549364856e-01,7.042330142368242729e-01,1.611037191744711716e+00,3.371885505055816773e-02,7.812283801692676381e-03,3.550000000000000711e+00
4.924641461658794128e-01,7.133444549376088961e-01,1.613652675045474938e+00,2.784395246150409009e-02,9.418505126659010296e-03,3.850000000000000533e+00
4.916464121544245058e-01,7.310626007148314232e-01,1.620339030322761165e+00,3.498174477742425903e-02,1.388767972242175436e-02,4.400000000000000355e+00
4.897050319816710906e-01,7.673669764580739461e-01,1.626924577615832090e+00,7.646124941075591042e-02,9.214825506408902064e-03,5.000000000000000000e+00
4.880904845543715953e-01,7.966507591121352316e-01,1.622457131236594075e+00,7.067393986534330208e-02,-2.588898942692264074e-02,5.400000000000000355e+00
4.864216474047480254e-01,8.307334387357004912e-01,1.620578852736046738e+00,4.183924025299166904e-02,1.042776040348356893e-02,6.050000000000000711e+00
4.839633592830950848e-01,8.740444534361139217e-01,1.635161199734706861e+00,5.117992870409698164e-02,1.897694353183679641e-02,6.950000000000001066e+00
4.831450528991310667e-01,8.863088491660985335e-01,1.639652004778435979e+00,3.315182792846001897e-02,1.185911660236366010e-02,7.250000000000000888e+00
4.798833517814148353e-01,9.292814275478534780e-01,1.653148517102680293e+00,5.097027860877092337e-02,1.530789346562551681e-02,8.200000000000001066e+00
4.765321009034094724e-01,9.676750590739621183e-01,1.661896541322865906e+00,5.162548122965900099e-02,9.700044102370759119e-03,8.950000000000001066e+00
4.749849748868949506e-01,9.843293700182175199e-01,1.664912062998482378e+00,3.489859610772070436e-02,5.993745462956940120e-03,9.350000000000001421e+00
4.706020578105761798e-01,1.029027115004970572e+00,1.672080095338463135e+00,4.934463810834058967e-02,7.698455899877553431e-03,1.035000000000000142e+01
4.653819817967753125e-01,1.079080593548610079e+00,1.676661250042869034e+00,5.465463882320479444e-02,3.489049007975458111e-03,1.130000000000000071e+01
4.629979798131194646e-01,1.101394079011432936e+00,1.677666094583791345e+00,3.852558011273123778e-02,1.036070218979308040e-03,1.180000000000000071e+01
4.579384551698290062e-01,1.148618625106502478e+00,1.677050803949162727e+00,5.147895519949092363e-02,-1.356249509137793683e-03,1.280000000000000071e+01
4.532809542175195716e-01,1.192775961868226542e+00,1.674367566587682932e+00,5.261075937477699416e-02,-4.059687189544803655e-03,1.365000000000000036e+01
4.502214988579567034e-01,1.222606455294618977e+00,1.671464397309149197e+00,4.239257716040734786e-02,-4.701138042546021065e-03,1.430000000000000071e+01
4.454471640441332037e-01,1.271628727779054113e+00,1.663897211113005037e+00,5.229266619732354099e-02,-8.860469541102354921e-03,1.530000000000000071e+01
4.420364276164022721e-01,1.309529255479634946e+00,1.657111516517293381e+00,4.990254678910024250e-02,-9.147588208012145602e-03,1.605000000000000071e+01
4.390936149841049851e-01,1.344922517656412797e+00,1.650323837420745177e+00,5.119976487230562534e-02,-1.000708412301404976e-02,1.675000000000000000e+01
4.382708517536195170e-01,1.355383983821330185e+00,1.648222135781440612e+00,3.458615218072919745e-02,-7.109588805672680499e-03,1.700000000000000000e+01
4.354321152578015663e-01,1.394266035719124774e+00,1.638890377896116579e+00,5.146181447942153875e-02,-1.293992290137212231e-02,1.785000000000000142e+01
4.331378454779104548e-01,1.430302033328366473e+00,1.629879885307921494e+00,5.165348934088518501e-02,-1.283403050720091643e-02,1.855000000000000071e+01
4.324034192860460868e-01,1.443064775622763918e+00,1.626661458415337380e+00,3.567109919030699711e-02,-9.089242163810649922e-03,1.885000000000000142e+01
4.309974943999548280e-01,1.470088847964630574e+00,1.618622920898197259e+00,4.029977711921388372e-02,-1.283664268632043505e-02,1.955000000000000071e+01
4.290167339450561279e-01,1.520622954898817047e+00,1.601051245368567688e+00,5.511289769776229336e-02,-1.972903380452361091e-02,2.055000000000000071e+01
4.285757623638227765e-01,1.536676483713204089e+00,1.595554579991394828e+00,3.909027864967417470e-02,-1.269938218347066439e-02,2.090000000000000213e+01
4.280888667761268973e-01,1.559628169573356482e+00,1.588577745485612480e+00,4.340613787155749026e-02,-1.267890923613599653e-02,2.145000000000000284e+01
4.278110423449204003e-01,1.578022485661304763e+00,1.583228030470211101e+00,3.916683487296229033e-02,-1.134254433354146309e-02,2.190000000000000213e+01
4.276415805132012804e-01,1.595085256344517033e+00,1.578204326760384912e+00,3.707169078180313354e-02,-1.103985848986728698e-02,2.235000000000000142e+01
4.275924591088666737e-01,1.603000989858828662e+00,1.575774588334418747e+00,2.733255309150034798e-02,-8.647852897770950606e-03,2.260000000000000142e+01
4.276107830431357115e-01,1.632841268976983118e+00,1.564203314080771401e+00,4.237229923154470224e-02,-1.752158724660359684e-02,2.340000000000000213e+01
4.283369748292808477e-01,1.675844275207524880e+00,1.542833887330684828e+00,4.323966973257686863e-02,-2.310498226268167116e-02,2.440000000000000213e+01
4.300931041048775549e-01,1.720710935050075996e+00,1.520942761378693664e+00,4.912398382339373815e-02,-2.302355213044244078e-02,2.535000000000000142e+01
4.310734945253748007e-01,1.738843171191855053e+00,1.512718232403717167e+00,3.443687019123837373e-02,-1.500802520285454515e-02,2.580000000000000071e+01
4.335578570340870574e-01,1.776378632836329796e+00,1.496757881566004533e+00,4.910384719334197345e-02,-2.069712621659646964e-02,2.665000000000000213e+01
4.352485895903357438e-01,1.797886027245929386e+00,1.488058430626663764e+00,3.928435912173543210e-02,-1.521444895068215127e-02,2.715000000000000213e+01
4.360747611905195220e-01,1.807620791585462516e+00,1.484167294901827860e+00,2.741814895583429348e-02,-1.122464921464569332e-02,2.745000000000000284e+01
4.397365933414321693e-01,1.846120760638003233e+00,1.467642553716926868e+00,5.035193237553735324e-02,-2.186359477122865741e-02,2.835000000000000142e+01
4.415348694655756856e-01,1.862905553418650717e+00,1.460584348620896034e+00,3.645932521019046302e-02,-1.462013262444726222e-02,2.875000000000000000e+01
4.438670278896028609e-01,1.883231209534121486e+00,1.452579287455189272e+00,3.766171890022821517e-02,-1.451397503732198245e-02,2.930000000000000071e+01
4.467213004503307605e-01,1.906368781633613674e+00,1.443509204183416994e+00,3.956868025564801855e-02,-1.548622590570274647e-02,2.990000000000000213e+01
4.498419993868061906e-01,1.929879941547484323e+00,1.434137702278009741e+00,3.950416848289845656e-02,-1.570022738523338401e-02,3.050000000000000355e+01
4.525801052352734222e-01,1.949209018235012358e+00,1.425864498243118117e+00,3.299836807335208844e-02,-1.462025752343106347e-02,3.105000000000000426e+01
4.585255211305407363e-01,1.987404660536420398e+00,1.406454136266760857e+00,4.414665141003365489e-02,-2.316806108082894097e-02,3.200000000000000711e+01
4.636523720130765192e-01,2.016888233347891024e+00,1.390835646676150450e+00,3.766633075429486749e-02,-1.954605518664162198e-02,3.275000000000000711e+01
