x,y,theta,v_b,omega,t
7.500000000000001110e-01,-4.008581039226121712e-21,1.570796326794896780e+00,-1.494314699095181879e-21,2.670408696878929959e-21,0.000000000000000000e+00
7.492855907262939708e-01,6.213419641868544313e-02,1.593762485590136446e+00,9.033186736079325263e-02,3.333405245578157511e-02,1.000000000000000000e+00
7.485722180886393851e-01,8.777604879742678667e-02,1.603540903544007579e+00,1.126626196642433464e-01,4.384365297687200375e-02,1.250000000000000000e+00
7.469973643228104976e-01,1.244010662110157373e-01,1.627274627113290517e+00,7.611251749687246437e-02,7.012496062262074670e-02,1.649999999999999911e+00
7.327140500028177517e-01,2.539152678684090669e-01,1.734105723922947373e+00,1.668288047528544704e-01,1.408183112166987716e-01,2.600000000000000089e+00
7.208382198398806118e-01,3.176176838403412250e-01,1.770794083656289208e+00,1.584993132747158084e-01,5.534346420222886059e-02,3.000000000000000000e+00
6.997197209042707033e-01,4.142786938542290520e-01,1.799676800695314771e+00,1.945422360795916461e-01,5.103083643766621186e-02,3.549999999999999822e+00
6.613715940892805900e-01,5.665410916950630593e-01,1.833836943473479808e+00,2.431260019643093351e-01,4.793329941919642623e-02,4.250000000000000000e+00
6.482940079385172139e-01,6.139231064370145319e-01,1.847971146932398279e+00,1.586892495340958831e-01,6.295702473968035895e-02,4.500000000000000000e+00
6.295921817276121102e-01,6.783003882858229527e-01,1.853287460726964042e+00,1.728460822765939542e-01,-2.361652954914064337e-02,4.900000000000000355e+00
5.765581901580242308e-01,8.543208574406845335e-01,1.885176177020766453e+00,2.191850243946859289e-01,6.695158189762333290e-02,5.800000000000000711e+00
5.591298608621926292e-01,9.069589798508417289e-01,1.892571255001617381e+00,1.568265724968098407e-01,-8.396792050770308241e-03,6.100000000000000533e+00
5.155953975183588112e-01,1.041239696481442101e+00,1.873670723841957653e+00,2.295347961989209762e-01,-3.902617898951248748e-02,6.800000000000000711e+00
4.748997966742664056e-01,1.170377376888861676e+00,1.888773237536335303e+00,2.205482589769137969e-01,6.626574467050612427e-02,7.400000000000000355e+00
4.481549077967905137e-01,1.249706062660094430e+00,1.898516423157552646e+00,2.001339847836077490e-01,-6.646645335532083525e-03,7.800000000000000711e+00
4.195163866146854326e-01,1.336168614519280373e+00,1.877244988557638772e+00,1.682932426324025565e-01,-6.692133663629934448e-02,8.300000000000000711e+00
3.976773269504320640e-01,1.408826763652120340e+00,1.848656585361983185e+00,2.059843123814264765e-01,-7.575816803899328156e-02,8.700000000000001066e+00
3.478872527487133492e-01,1.656464848450957428e+00,1.666290489308027034e+00,2.970884430924479735e-01,-2.838354034611652588e-01,9.650000000000000355e+00
3.435243307420960956e-01,1.787867018509310180e+00,1.542750999357266117e+00,2.390653513164824051e-01,-2.169586749869113484e-01,1.015000000000000036e+01
