x,y,theta,v_b,omega,t
1.750000000000000000e+00,-1.261383513046475356e-19,1.570796326794896780e+00,-4.384755951975619543e-20,-8.172762265112921559e-21,0.000000000000000000e+00
1.750000539792117227e+00,7.652644102457876281e-04,1.620721323538153902e+00,-1.950558392630982220e-03,9.362880619995400666e-02,8.000000000000000444e-01
1.749575040684695715e+00,7.205331727981458684e-03,1.643940708285188679e+00,3.993226115594908365e-02,6.476752199316142267e-02,1.100000000000000089e+00
1.746797763815876481e+00,3.852223946254416942e-02,1.670712229797802983e+00,9.108369289010133374e-02,5.603211386415506839e-02,1.550000000000000044e+00
1.747719506951595614e+00,3.712679953121836296e-02,1.749364015982120435e+00,-4.454615809390205516e-02,1.056731111821376523e-01,2.450000000000000178e+00
1.757565378562420566e+00,-3.732061703593048899e-03,1.869306268315187758e+00,-4.485334684248769299e-02,1.366782253101304079e-01,3.400000000000000355e+00
1.755436868036250431e+00,2.184004516707326038e-03,1.912624913435463148e+00,5.970352550469016500e-02,8.736795986394702007e-02,3.800000000000000266e+00
1.751556933163808338e+00,1.294844062995902795e-02,2.006967850505974482e+00,-9.063292791610047180e-03,9.897412720962156518e-02,4.800000000000000711e+00
1.751124772805503937e+00,1.360523100349346308e-02,2.086428059906508814e+00,5.821936827494054827e-03,8.281748509168995742e-02,5.700000000000001066e+00
1.742312316029768438e+00,2.787463371522548583e-02,2.149488410620123968e+00,2.680414095032301186e-02,6.981342670436696540e-02,6.550000000000000711e+00
1.730288531518899608e+00,4.573133998479232687e-02,2.172695350245497981e+00,7.367059578847906520e-02,4.966905705792523662e-02,6.950000000000001066e+00
1.698289303210025025e+00,9.003797826156297035e-02,2.223823533210503633e+00,5.430735129963307206e-02,6.008881727419095736e-02,7.850000000000001421e+00
1.656318653862367984e+00,1.425966742203996218e-01,2.260059787233410500e+00,1.209593157536734825e-01,4.733272370242291166e-02,8.550000000000000711e+00
1.614575123372968601e+00,1.925507728670405594e-01,2.267680484087258197e+00,6.789020952012710108e-02,-1.002265060567148619e-02,9.300000000000000711e+00
1.605908500019257668e+00,2.029198033266210732e-01,2.266698703271541326e+00,4.295681764945749603e-02,9.881764350618224037e-04,9.550000000000000711e+00
1.593412507668091393e+00,2.178258010295106295e-01,2.271548590036830628e+00,3.618440165864856423e-02,1.540233568103625654e-02,1.005000000000000071e+01
1.568886690713987564e+00,2.473535056602329252e-01,2.249015480657591493e+00,5.266007764508404132e-02,-5.136746382984691550e-02,1.085000000000000142e+01
1.556996377259769915e+00,2.623267946340457901e-01,2.237157001896461495e+00,3.550600254996400668e-02,-9.247243542344288011e-03,1.130000000000000071e+01
1.597837299390755028e+00,2.116425049045123075e-01,2.260861265764057659e+00,-1.136162816218062588e-01,4.202766071207655191e-02,1.225000000000000000e+01
1.610917572444583001e+00,1.959473064710309520e-01,2.285510418451767833e+00,1.508857055390624806e-02,3.433101907314911605e-02,1.290000000000000036e+01
1.571676978790688128e+00,2.393614663834620904e-01,2.320419179094773465e+00,7.833591839598864903e-02,3.531751740525231748e-02,1.390000000000000036e+01
1.529917312086530590e+00,2.831596736935876879e-01,2.343224241188749613e+00,7.431817166605657332e-02,2.497025882094454710e-02,1.470000000000000107e+01
1.495573301888908802e+00,3.176008756885061457e-01,2.368796055311333415e+00,6.648205777715153475e-02,4.293297163813490636e-02,1.540000000000000036e+01
1.480487291287865714e+00,3.321579071512352210e-01,2.378319455330556664e+00,9.824631173309800181e-02,3.419692810529104815e-02,1.565000000000000036e+01
1.408470536873502654e+00,3.987772277817522304e-01,2.411740107952576651e+00,1.056784394091265789e-01,3.566072972113141365e-02,1.660000000000000142e+01
