x,y,theta,v_b,omega,t
1.750000000000000000e+00,-2.635002757738815176e-19,1.570796326794896558e+00,-8.367233393877672654e-20,-4.389853382987458972e-20,0.000000000000000000e+00
1.750046185995857373e+00,-5.191930528221040675e-03,1.588157055852986499e+00,-1.818431976958419238e-02,5.742830222225963482e-02,5.000000000000000000e-01
1.754238810073881494e+00,-4.603609949959370368e-02,1.760306638885326791e+00,-5.627453489508232182e-02,2.422515253693211523e-01,1.500000000000000000e+00
1.758919650543260049e+00,-6.420602084729662429e-02,1.942271353014488389e+00,-6.493996601498412853e-03,2.153299414243164678e-01,2.299999999999999822e+00
1.743314067617760754e+00,-3.322202864836679842e-02,2.082913569338452398e+00,6.585204733852091652e-02,1.372313392814585309e-01,3.149999999999999911e+00
1.697266919144421848e+00,3.909690831569347103e-02,2.178930375272656317e+00,1.111227647669547902e-01,9.075253109097261572e-02,4.049999999999999822e+00
1.633197190830175893e+00,1.246513696582305236e-01,2.243110096347207261e+00,1.232195551088932917e-01,6.160458546677528846e-02,4.950000000000000178e+00
1.619281280141794177e+00,1.418771990341960443e-01,2.269050859951940780e+00,-8.958832157026504553e-03,3.828392676128111044e-02,5.500000000000000000e+00
1.629023077781886819e+00,1.305202873842634115e-01,2.286896927178284411e+00,-4.318372913085297138e-02,3.425099564701613447e-02,6.000000000000000000e+00
1.580649812642446639e+00,1.831869116888905358e-01,2.327585691753441210e+00,1.337525624385126344e-01,4.691253050301882194e-02,6.950000000000000178e+00
1.551234835999541595e+00,2.138824280258983523e-01,2.342036509881132655e+00,8.670089675530018303e-02,2.837383126009297013e-02,7.350000000000000533e+00
1.535809937898477084e+00,2.296372622588977452e-01,2.349154474725540620e+00,6.330253025777124454e-02,2.010971844294562674e-02,7.650000000000000355e+00
1.511314113524722336e+00,2.542287892986400122e-01,2.359059459644622159e+00,7.349329005998650466e-02,1.962156467479989411e-02,8.150000000000000355e+00
1.479175969925659029e+00,2.858444934899891376e-01,2.369290013843913023e+00,8.743880319073078777e-02,1.797027450740769708e-02,8.700000000000001066e+00
1.406280519023036524e+00,3.558498081299902305e-01,2.382211398197128904e+00,1.480599471295072633e-01,1.518365958278671338e-02,9.500000000000001776e+00
1.313441460939207994e+00,4.431499788194408485e-01,2.390589877606152047e+00,1.656238611748162004e-01,7.897473160238038456e-03,1.030000000000000249e+01
1.234212198723300125e+00,5.170694102443293971e-01,2.389424393038061201e+00,1.483056744526164428e-01,-7.097948575033203970e-03,1.100000000000000178e+01
