x,y,theta,v_b,omega,t
1.199999999999999956e+00,-6.635699482858870534e-20,1.570796326794896780e+00,-2.295603450995044694e-20,-7.277961411584912162e-21,0.000000000000000000e+00
1.198932465794206426e+00,3.013520600598002669e-02,1.645230345884371337e+00,4.434464774815437271e-02,1.235457472253283506e-01,9.000000000000000222e-01
1.196606275208668579e+00,5.277583665005802088e-02,1.697866330421523351e+00,4.014837609369176219e-02,7.766596101069510316e-02,1.450000000000000178e+00
1.190196584270514890e+00,9.301822326677570973e-02,1.755909956342504019e+00,6.205878270866951874e-02,7.736723391984494380e-02,2.200000000000000178e+00
1.183808720316827934e+00,1.239004535800363044e-01,1.792933872140790141e+00,5.463790476726621687e-02,6.099732991645452629e-02,2.750000000000000000e+00
1.180002557558528231e+00,1.400587883547799728e-01,1.811252369741215729e+00,4.222340967087497010e-02,4.590607665309053703e-02,3.100000000000000089e+00
1.175107412910142202e+00,1.591649492159692147e-01,1.831704285937910459e+00,4.493513132669988558e-02,4.514277493247965956e-02,3.550000000000000266e+00
1.172491465877451677e+00,1.687706036072769145e-01,1.841634497414252447e+00,3.575563291054598830e-02,3.533723853849256302e-02,3.800000000000000266e+00
1.168183134505537124e+00,1.838565352723675328e-01,1.856042752079829272e+00,4.167718677912799624e-02,3.651542925776438825e-02,4.200000000000000178e+00
1.154019710860801462e+00,2.292248467507723708e-01,1.889532804330963600e+00,8.259474339813514809e-02,5.430974133856399100e-02,4.900000000000000355e+00
1.143268092139366310e+00,2.606893984686172172e-01,1.910227795974225540e+00,6.803090667293072713e-02,4.026976258777994339e-02,5.350000000000000533e+00
1.110259254285284491e+00,3.481661586446140322e-01,1.950857692640797225e+00,1.321208941822768212e-01,5.187072000385610504e-02,6.200000000000001066e+00
1.083413118361156391e+00,4.129288552861355432e-01,1.975966514281389141e+00,1.074858453522627988e-01,3.570085524105375691e-02,6.800000000000000711e+00
1.074509946862995058e+00,4.334770893102113387e-01,1.983325117075602995e+00,7.515843011622466707e-02,2.434697505884823171e-02,7.050000000000000711e+00
1.007775385868849183e+00,5.797703184237666951e-01,2.011615056040846561e+00,2.043096101801930020e-01,3.041710104989465979e-02,8.050000000000000711e+00
9.716452147243583859e-01,6.552415110994928016e-01,2.022339423722309792e+00,1.185847116105672033e-01,1.256839675693604066e-02,8.600000000000001421e+00
9.133517883183303043e-01,7.746172865879838998e-01,2.025804995282841414e+00,1.770066816797303821e-01,-6.158753202601568218e-04,9.450000000000001066e+00
