x,y,theta,v_b,omega,t
2.000000000000000000e+00,-1.000000000000000056e-01,1.570796326794896558e+00,-8.670343431163092015e-22,2.214651493501504902e-21,0.000000000000000000e+00
1.999483923291033971e+00,-3.339306934622577466e-02,1.586208352230880747e+00,1.399474175849166058e-01,3.199840801753180142e-02,7.500000000000000000e-01
1.995722748819217740e+00,9.731091811493859656e-02,1.612144234633020146e+00,1.947366427129366973e-01,3.636657950680338702e-02,1.500000000000000000e+00
1.978299008635263645e+00,3.615811167520573965e-01,1.661519412256197148e+00,3.025241109140855977e-01,5.810093820066258158e-02,2.500000000000000000e+00
1.960982546322326492e+00,5.243827839484547226e-01,1.691430176264396401e+00,2.200715714501682296e-01,3.778754496576784694e-02,3.149999999999999911e+00
1.939998778168818383e+00,6.810605821137710736e-01,1.715725595894998623e+00,2.294526822679803235e-01,3.289083689106521435e-02,3.850000000000000089e+00
1.926077826204365406e+00,7.724747807609069206e-01,1.727704245903901814e+00,1.883208208065019484e-01,2.207433084683627089e-02,4.299999999999999822e+00
1.883834404746985491e+00,1.018724781691805914e+00,1.753202546367238268e+00,3.046730109184483948e-01,3.036628078509395062e-02,5.250000000000000000e+00
1.845000000014592079e+00,1.220446791667948894e+00,1.767060086272456587e+00,3.237007144784732615e-01,1.545327591763625066e-02,5.900000000000000355e+00
1.793680452358236588e+00,1.479178325351873324e+00,1.761564252775033701e+00,3.332098661694705699e-01,-2.051641068115166860e-02,6.700000000000000178e+00
1.748957166407396624e+00,1.726279815568372955e+00,1.735295349970294110e+00,3.356033116233703151e-01,-4.416922733970600479e-02,7.450000000000000178e+00
1.729430180317608201e+00,1.850235707720717659e+00,1.718903858068676627e+00,2.378894939036619582e-01,-3.007013180517026374e-02,7.900000000000000355e+00
1.707665378169740178e+00,2.004447492186994140e+00,1.704583690704108534e+00,2.130686582882852509e-01,-1.465367861204983253e-02,8.599999999999999645e+00
1.672552526454132771e+00,2.260882527132070052e+00,1.714527153337890297e+00,2.828509172183859555e-01,2.268066884476306957e-02,9.599999999999999645e+00
1.658579374154561359e+00,2.354339456430365463e+00,1.724912710212939571e+00,1.591094484064978498e-01,2.304786321543226407e-02,1.004999999999999893e+01
1.623912157058021721e+00,2.547724059866433688e+00,1.775901861005739990e+00,2.312410321614370434e-01,7.111494215309235867e-02,1.099999999999999822e+01
1.610656773247702844e+00,2.608486596646955036e+00,1.795349745857819368e+00,1.376719555545452278e-01,4.347840101315117445e-02,1.134999999999999787e+01
1.582828120798774663e+00,2.721504452048763234e+00,1.828273926847435504e+00,1.653875685471859758e-01,4.434336329390085873e-02,1.209999999999999787e+01
1.535339914430840613e+00,2.888061322136741271e+00,1.867411131600672292e+00,2.070881036912376183e-01,4.354338665000629521e-02,1.299999999999999822e+01
1.521190014905436261e+00,2.933539272473955961e+00,1.877482614289604834e+00,1.213605935349318932e-01,2.575036760734015009e-02,1.329999999999999893e+01
1.500000000000000000e+00,2.999999999999999556e+00,1.874724356169960915e+00,4.672312551418731502e-02,-1.547285735766109650e-02,1.429999999999999893e+01
