x,y,theta,v_b,omega,t
1.199999999999999956e+00,2.089986970715027750e-21,1.030376826524312506e+00,-1.470259552732237869e-22,2.538869141119399394e-21,0.000000000000000000e+00
1.204714076063534201e+00,7.668504669122476643e-03,1.007973315639999923e+00,3.516946730610514410e-02,-9.686642522016791768e-02,4.000000000000000222e-01
1.237371651028735586e+00,5.519788596960073512e-02,9.392045950990064451e-01,1.106599530115163071e-01,-1.005512024908930824e-01,1.100000000000000089e+00
1.372246372908321188e+00,2.029400353400871160e-01,7.039917537533462166e-01,2.650382812151627077e-01,-3.806843220563970731e-01,2.050000000000000266e+00
1.544167814702772201e+00,3.287852326682885185e-01,6.088199579658324367e-01,2.647883737238503343e-01,1.452393698184899912e-02,2.850000000000000533e+00
1.637206591569429381e+00,3.968324721724217352e-01,6.850275172296432791e-01,7.687180554660963394e-02,1.363839177585985107e-01,3.650000000000000355e+00
1.665702889423949173e+00,4.214499479491598533e-01,7.303211990870318582e-01,2.053901433493370357e-02,4.788926559946959233e-03,4.650000000000000355e+00
1.764325929329770393e+00,5.163263223650502720e-01,8.047851585021914556e-01,2.209905185960611418e-01,1.328557428799376494e-01,5.550000000000000711e+00
1.823639641804029266e+00,5.822690904125363831e-01,8.780227291000101131e-01,2.204627206594666489e-01,2.262875417836082426e-01,5.950000000000001066e+00
1.930885739008449287e+00,7.632629104460000313e-01,1.241033608925891096e+00,1.968309936620555312e-01,4.653392577207623448e-01,6.950000000000001066e+00
1.955792183591731126e+00,8.871473574680081020e-01,1.489982648023477907e+00,2.225687605152997517e-01,3.766326997820911848e-01,7.550000000000000711e+00
1.955085526020699183e+00,1.043486436606358314e+00,1.631863343830749269e+00,2.883657665647965107e-01,1.416306388563166596e-01,8.150000000000000355e+00
1.915635149406939020e+00,1.332440563588046745e+00,1.783273201806669261e+00,2.934373023974103378e-01,1.575015173249977585e-01,9.150000000000000355e+00
1.870352770103735685e+00,1.507901795286759050e+00,1.857098274457230414e+00,3.086275736870047193e-01,9.897850470639099618e-02,9.750000000000000000e+00
1.807591099100924747e+00,1.774399327910407997e+00,1.653900751317713524e+00,2.785674152158926220e-01,-4.950639854646932680e-01,1.065000000000000036e+01
1.819036308321963835e+00,1.924586865321612938e+00,1.312520226625954578e+00,2.710238432307385814e-01,-7.292160279152726243e-01,1.120000000000000107e+01
1.836612152656736274e+00,1.974587912144540436e+00,1.143000245764611122e+00,1.638127232658518617e-01,-6.289496712682253188e-01,1.145000000000000107e+01
1.863147175617308360e+00,2.019357849098998514e+00,9.216905768271234090e-01,1.057734396060674986e-01,-4.875427344299647081e-01,1.185000000000000142e+01
1.908207838330190143e+00,2.063327180741249212e+00,6.233431337481314394e-01,9.199482364806495227e-02,-4.356694756233001620e-01,1.250000000000000178e+01
1.954922633645648666e+00,2.091133823725472851e+00,4.742057407098461130e-01,1.428406080029637204e-01,-2.539344914333432346e-01,1.295000000000000107e+01
2.109189664886462090e+00,2.154719473105372263e+00,3.354070851673298659e-01,2.506085641088576788e-01,-1.270524338457925673e-01,1.375000000000000178e+01
2.349515493394587207e+00,2.238359194936426544e+00,3.695920079687375903e-01,2.915303897273985867e-01,1.297820587464950937e-01,1.465000000000000213e+01
2.574897466301640847e+00,2.351747760230457729e+00,5.981507982736852247e-01,2.455178590604275568e-01,3.157455056394075643e-01,1.560000000000000142e+01
2.621009055282321309e+00,2.386969503910301160e+00,7.535724886381333087e-01,2.225244811723581587e-02,2.526628956040291585e-01,1.615000000000000213e+01
2.623982062991760067e+00,2.389938803386495003e+00,8.345712339991885331e-01,2.851173626287180785e-03,1.640126527152548919e-01,1.655000000000000071e+01
2.640902233891337492e+00,2.411494969048987080e+00,9.465239274832277783e-01,5.108965961216105356e-02,1.263594320419518247e-01,1.735000000000000142e+01
2.700000000000000178e+00,2.500000000000000444e+00,9.960045657156918475e-01,1.537049224252315938e-01,1.959436691933943639e-02,1.825000000000000000e+01
