x,y,theta,v_b,omega,t
1.000000000000000000e+00,5.000000000000000000e-01,1.570796326794896558e+00,-1.872400233740041310e-22,-6.228172086352150169e-23,0.000000000000000000e+00
1.000571296976470181e+00,5.473388066883972947e-01,1.546487914407416842e+00,1.429856832035651670e-01,-7.506950719806537720e-02,5.500000000000000444e-01
1.018241459513630875e+00,7.292984702174868383e-01,1.383712104669635456e+00,2.551351469932564009e-01,-2.916975815407962802e-01,1.400000000000000133e+00
1.084108165044534333e+00,9.443110405831712795e-01,1.176208075309859824e+00,2.721171732662940879e-01,-2.140201645133428254e-01,2.250000000000000000e+00
1.157524211160062100e+00,1.096933308145447095e+00,1.079926295078859066e+00,2.244075193851330086e-01,-8.789270798435959431e-02,2.950000000000000178e+00
1.278180816700819733e+00,1.305345123721130207e+00,1.019032700277287207e+00,2.699818142478035421e-01,-5.248184345360577818e-02,3.900000000000000355e+00
1.386500145831945030e+00,1.474970823359253558e+00,9.878492136151170167e-01,2.989695433532744695e-01,-4.001335574232467440e-02,4.600000000000000533e+00
1.468526445765990784e+00,1.596880205061217195e+00,9.697425345853979417e-01,2.454310530517287980e-01,-2.760976306466458863e-02,5.150000000000000355e+00
1.588087223216975374e+00,1.767159966607878552e+00,9.477193098746342637e-01,2.974637697831709060e-01,-3.123736921231289390e-02,5.900000000000000355e+00
1.635830803628372854e+00,1.833002610302116864e+00,9.390948555121731989e-01,1.831534423285575142e-01,-1.934091486712728389e-02,6.250000000000000000e+00
1.790267834005699443e+00,2.038378304208893432e+00,9.127467149800682078e-01,2.968528642221305858e-01,-3.169648167890547208e-02,7.250000000000000000e+00
1.834146604966871541e+00,2.094696974881494533e+00,9.050983707539916878e-01,1.917153130860237698e-01,-2.037222922534461314e-02,7.549999999999999822e+00
1.984421179104127519e+00,2.281037114478948080e+00,8.786173946402524582e-01,3.089374648503855347e-01,-3.648489098538587605e-02,8.449999999999999289e+00
2.060134083836769214e+00,2.371068548007875254e+00,8.645121360824571388e-01,2.271083524509205365e-01,-2.707561433909048271e-02,8.899999999999998579e+00
2.181188284087482110e+00,2.509392942339390586e+00,8.381702387569086588e-01,2.312263331731037319e-01,-3.620749753305384233e-02,9.699999999999999289e+00
2.347186300978348683e+00,2.684050559227039834e+00,7.780704135186173875e-01,2.453064285159163860e-01,-7.351867752937377154e-02,1.069999999999999929e+01
2.515033905342312970e+00,2.835832088975856813e+00,6.857076114792237664e-01,2.777275910008619175e-01,-1.333188752288389511e-01,1.154999999999999893e+01
2.675569440378145813e+00,2.953918521574431466e+00,5.800382333147401370e-01,2.581786497740540809e-01,-1.451189974005645811e-01,1.229999999999999893e+01
2.749999999999999556e+00,3.000000000000000000e+00,5.275093312862059181e-01,7.897426882678545979e-02,-5.070998543386191770e-02,1.289999999999999858e+01
