x,y,theta,v_b,omega,t
2.000000000000000000e+00,-1.000000000000000194e-01,1.570796326794896558e+00,3.337980665768630792e-22,-4.547201062329430378e-23,0.000000000000000000e+00
1.999995865198961109e+00,-9.574927524090669217e-02,1.572737751451766419e+00,3.062976049223920666e-02,1.393315874323924376e-02,2.500000000000000000e-01
1.999554884044588254e+00,-5.828928553579567490e-02,1.592767936081454394e+00,9.184778593010084480e-02,5.078545902635939885e-02,8.000000000000000444e-01
2.000030339790599410e+00,-5.514011058924456893e-02,1.666530518621875734e+00,-3.752901996770125620e-02,9.943224383906834607e-02,1.700000000000000178e+00
2.003086589884637281e+00,-7.857695254802798956e-02,1.736504446236458277e+00,-2.822801112875610030e-02,8.973306876098895157e-02,2.450000000000000178e+00
2.003319518978575076e+00,-8.092628729116194131e-02,1.847618005503563587e+00,8.079228943368843910e-03,1.293941302908168112e-01,3.400000000000000355e+00
2.003126357413599568e+00,-8.009392510277324462e-02,1.973531831178704676e+00,-2.155124087478242113e-03,1.244871960233811942e-01,4.400000000000000355e+00
1.992771848651293976e+00,-5.966789632349091960e-02,2.076592530974021855e+00,3.437908659030575187e-02,9.282321990861251704e-02,5.400000000000000355e+00
1.985545377577272008e+00,-4.693327298749890020e-02,2.093256676598477473e+00,7.845685661268911315e-02,4.532699165397587049e-02,5.650000000000000355e+00
1.981184168703361559e+00,-3.941169392158913598e-02,2.101087900008247633e+00,6.346113048394987901e-04,2.002312525346662195e-02,5.900000000000000355e+00
1.977605456427478092e+00,-3.327047958519647325e-02,2.092744378668635274e+00,2.183295331502109818e-02,-4.089993762776231861e-02,6.400000000000000355e+00
1.987610444943832766e+00,-5.115783762697433817e-02,2.078265681489665173e+00,-5.634401182011947867e-02,-9.812292683768241916e-03,7.100000000000000533e+00
1.984503680093084421e+00,-4.624493067733805030e-02,2.118225922141853790e+00,3.363920324954423891e-02,6.788723310276841005e-02,8.000000000000000000e+00
1.965606833119959429e+00,-1.704319608749187837e-02,2.168366491868849888e+00,4.872901438492902720e-02,6.007164854130574161e-02,8.800000000000000711e+00
1.930085496129885447e+00,3.197499808226477586e-02,2.224194954068444030e+00,7.080624308246601106e-02,5.827538157417375825e-02,9.750000000000000000e+00
1.883643557949681302e+00,8.925478897938178557e-02,2.278716691040289177e+00,8.088604295410244116e-02,5.703605382751845976e-02,1.069999999999999929e+01
1.884389594167249493e+00,8.879704616954284258e-02,2.314283024584476323e+00,-4.223865531734110473e-02,4.336984421653152649e-02,1.144999999999999929e+01
1.853547297309814601e+00,1.197472008288140294e-01,2.373124523729597701e+00,8.710343516336331582e-02,7.008912635444615458e-02,1.239999999999999858e+01
1.810722592148261700e+00,1.599566408407912810e-01,2.397631235608706390e+00,1.387005638711468480e-01,3.503681403330625999e-02,1.289999999999999858e+01
1.732010447680656151e+00,2.306095379801958722e-01,2.421940117340186216e+00,1.170815002221193835e-01,2.533168134653243295e-02,1.374999999999999822e+01
1.657991050212405781e+00,2.926831677548971666e-01,2.473554548526875951e+00,9.321685018154575453e-02,6.741402260986245620e-02,1.469999999999999751e+01
1.627519237906021043e+00,3.162030735249886648e-01,2.492173428489045772e+00,8.024711105118385868e-02,2.343562557857696918e-02,1.514999999999999680e+01
1.547161144113318842e+00,3.754288222971705058e-01,2.520594369684565628e+00,1.089016124736607027e-01,3.073826873932637357e-02,1.614999999999999858e+01
1.468700906990987765e+00,4.295603328595361536e-01,2.556763593840089221e+00,1.243153723885247891e-01,5.278069491275817066e-02,1.694999999999999929e+01
1.356665736093145558e+00,5.037455518132161192e-01,2.543080636243545190e+00,1.741253314157324705e-01,-5.355492342026006714e-02,1.780000000000000071e+01
1.285579917239042747e+00,5.540136185705697436e-01,2.506061846653397485e+00,1.472622387425590040e-01,-7.608111146541329806e-02,1.835000000000000142e+01
1.200175921986750716e+00,6.200302520705921472e-01,2.464947380041772718e+00,1.286040091550733622e-01,-3.789657178496707440e-02,1.915000000000000213e+01
1.106128391166689262e+00,6.993660671452766042e-01,2.413183115907521437e+00,1.401882262379770816e-01,-6.777781145633909876e-02,2.005000000000000071e+01
1.013228908948862639e+00,7.884157111536972407e-01,2.338402681618808376e+00,1.438163037717671011e-01,-9.163197548312354557e-02,2.094999999999999929e+01
9.267586397383675845e-01,8.873970800895288891e-01,2.233598566868181479e+00,1.461969364095742629e-01,-1.320111504075066056e-01,2.184999999999999787e+01
8.497362571626645433e-01,1.001205482737196784e+00,2.093337145178923553e+00,1.557055917864939576e-01,-1.721530237974464028e-01,2.274999999999999645e+01
7.899121910832539450e-01,1.135857834450807013e+00,1.866010617530115212e+00,1.417937670878023915e-01,-2.636146946765378085e-01,2.374999999999999645e+01
7.783931953718198349e-01,1.180236144696590994e+00,1.785424435919064745e+00,9.523986680360810309e-02,-1.529758154434009698e-01,2.414999999999999503e+01
7.685632673666562553e-01,1.239580559546910488e+00,1.683467030351701643e+00,7.238852387978443603e-02,-1.240298666424433233e-01,2.489999999999999503e+01
7.649717318571579439e-01,1.279500013344984088e+00,1.643580023459917605e+00,1.214782367034766275e-01,-8.205826102839627878e-02,2.529999999999999361e+01
7.624119320147036971e-01,1.344656835274029794e+00,1.563580069595761790e+00,5.934906936087630536e-02,-1.088126641183816412e-01,2.609999999999999432e+01
7.642547022039236637e-01,1.385039950514504126e+00,1.486163667238708852e+00,4.650006921096518087e-02,-9.013206278599686372e-02,2.689999999999999503e+01
7.654472798174306591e-01,1.396726546091172860e+00,1.432478898225735042e+00,2.425265283100746204e-03,-7.863855362686172912e-02,2.754999999999999361e+01
7.790200648832259489e-01,1.463820876503003410e+00,1.323556693162033948e+00,1.124269671915493207e-01,-1.508794161506284981e-01,2.844999999999999218e+01
7.790715056454013965e-01,1.466496887160902096e+00,1.243451255065037175e+00,-5.187184148892492325e-02,-9.573708005930868514e-02,2.914999999999999147e+01
8.067835036384877201e-01,1.530289727141526113e+00,1.118897976720097054e+00,1.276223515320037694e-01,-1.469363563133090633e-01,3.014999999999999147e+01
8.541592766209327170e-01,1.612712289751216721e+00,9.665115646602834287e-01,1.127346282754595058e-01,-2.208749030836543170e-01,3.094999999999999218e+01
9.095175869347179587e-01,1.679586223075733686e+00,7.915032131249345460e-01,9.677880654684756223e-02,-1.948777154539824141e-01,3.179999999999999361e+01
9.271878207786402593e-01,1.696740250266951522e+00,7.529569687731897387e-01,1.001239084877729169e-01,-1.203178043604262865e-01,3.204999999999999716e+01
9.529251792915456321e-01,1.719818557201490350e+00,7.078704929760620823e-01,6.131184415250680309e-02,-8.553689435876282721e-02,3.250000000000000000e+01
9.817776668279599717e-01,1.743744330579570345e+00,6.816236534980478767e-01,1.180927742414278891e-01,-5.138381786685556479e-02,3.289999999999999858e+01
1.094005757585018168e+00,1.829792687762671788e+00,6.280100653489349982e-01,1.528172045403369816e-01,-5.517542740878911972e-02,3.389999999999999858e+01
