x,y,theta,v_b,omega,t
7.500000000000000000e-01,-1.574700024269873850e-20,1.570796326794896558e+00,-7.090077690025492941e-21,-6.386133891471645835e-23,0.000000000000000000e+00
7.509497640148570241e-01,3.655531006709317188e-02,1.516984568739940142e+00,7.704604354708372016e-02,-1.241717496662086695e-01,7.000000000000000666e-01
7.522638597569532015e-01,5.509983105731391939e-02,1.480947604093118652e+00,5.031303229369542968e-02,-1.164210399159586601e-01,1.000000000000000000e+00
7.623697818129329118e-01,1.119167312069807990e-01,1.291932996489003171e+00,6.406858552966746001e-02,-2.581212399864338813e-01,1.950000000000000178e+00
7.841107083883229745e-01,1.676550217152124322e-01,1.118889770532368377e+00,9.880087899663467232e-02,-2.421849151722174076e-01,2.650000000000000355e+00
8.169779131390578764e-01,2.254974054742156231e-01,1.001506415420948537e+00,1.055585522076703253e-01,-1.387250930154133310e-01,3.300000000000000266e+00
9.030176238590132964e-01,3.491973515279053752e-01,9.464818828735520606e-01,1.864266123678854914e-01,-1.910246538051053877e-02,4.250000000000000000e+00
1.033271245775530200e+00,5.217112166279231911e-01,8.955696988126967684e-01,2.305515885466089543e-01,-6.847052313874328611e-02,5.250000000000000000e+00
1.189468376180774056e+00,7.125905952302760138e-01,8.884352890180130524e-01,2.540159992178085413e-01,2.248200574293875154e-02,6.250000000000000000e+00
1.226973114532065479e+00,7.588906643342335778e-01,8.901838727376583105e-01,1.552168020349954380e-01,-6.919129669285687192e-03,6.549999999999999822e+00
1.335203395704175122e+00,8.911435508307971043e-01,8.789517937970326988e-01,1.926443056698390055e-01,-1.456096813498532552e-02,7.500000000000000000e+00
1.372496019413790957e+00,9.362175933606681211e-01,8.825763585240447018e-01,1.962946084443620565e-01,3.298483158153488193e-02,7.799999999999999822e+00
1.427367637010962920e+00,1.004827253240200946e+00,9.149018603836772678e-01,1.929120701837170049e-01,1.004205344075780326e-01,8.250000000000000000e+00
1.500208099448023580e+00,1.115843121690355488e+00,1.111334605389832753e+00,1.075463800878111026e-01,2.745222722930914516e-01,9.199999999999999289e+00
1.520343257274157533e+00,1.163190319357058078e+00,1.218562480088255962e+00,1.008746297073561948e-01,1.698802205983084290e-01,9.699999999999999289e+00
1.570638657062712440e+00,1.356761688834812407e+00,1.397661343020922597e+00,2.530810832146822564e-01,1.930660221839962665e-01,1.069999999999999929e+01
1.593207953914374420e+00,1.528302762971180728e+00,1.459286940439961766e+00,1.343196680277053690e-01,4.920315294443412119e-04,1.169999999999999929e+01
1.615687299375668129e+00,1.712351619206887055e+00,1.435140778392973715e+00,2.910864378809638331e-01,-5.134165158131042545e-02,1.250000000000000000e+01
1.672037500559361289e+00,2.006211493212515684e+00,1.307858094275708316e+00,3.011133560263609121e-01,-1.759693778293637267e-01,1.350000000000000000e+01
1.723344068521795780e+00,2.171553206504548861e+00,1.242020474033328270e+00,2.808275348797237836e-01,-6.531420404324395079e-02,1.409999999999999964e+01
1.785283395339989809e+00,2.327507832864292858e+00,1.114247998351507229e+00,2.377705739950429775e-01,-3.025185246388533700e-01,1.475000000000000000e+01
1.932154346055761529e+00,2.546848704172460121e+00,8.661743493634147528e-01,3.035479386608102015e-01,-2.392557127444836507e-01,1.569999999999999929e+01
1.986071841131517690e+00,2.606413070820760236e+00,8.048425789957909249e-01,2.391895223150659056e-01,-1.745755627209835958e-01,1.600000000000000000e+01
2.128617481445169712e+00,2.743301403082207379e+00,7.467619693098852540e-01,2.287103639121542964e-01,-1.214812957933242114e-02,1.685000000000000142e+01
2.202055476824880564e+00,2.810261297205886244e+00,7.269463528470282432e-01,1.484451818064240758e-01,-5.090239539442978356e-02,1.740000000000000213e+01
2.292605119061623675e+00,2.888370391694902839e+00,7.003638242418893656e-01,1.251470415142325043e-01,-1.875889974682763001e-02,1.830000000000000071e+01
2.398600549586833441e+00,2.978472324313282460e+00,7.150791439485054690e-01,1.840424076655012287e-01,3.588571786929432156e-02,1.915000000000000213e+01
2.453510091959959283e+00,3.026959159615211448e+00,7.327955366074483390e-01,1.213383763468346560e-01,3.498298916209695297e-02,1.965000000000000213e+01
2.518930388772997908e+00,3.087389873716885447e+00,7.588300510237840912e-01,1.306587929720688934e-01,3.845955801558272741e-02,2.035000000000000142e+01
2.553110132128208143e+00,3.120539401904518506e+00,7.857717825735243133e-01,8.785883560591299657e-02,7.415433179902494731e-02,2.080000000000000071e+01
2.588976869696853367e+00,3.157232771966825169e+00,8.007322231846927263e-01,9.612455889983895219e-02,-2.954273496733793303e-03,2.135000000000000142e+01
2.643868375638500190e+00,3.214038566685626819e+00,8.058522712069168259e-01,1.370978382707210286e-01,1.429457142622997216e-02,2.200000000000000000e+01
2.727923365304979697e+00,3.306587160641806022e+00,8.731063068032711705e-01,1.997141740002070232e-01,1.530162295424082330e-01,2.269999999999999929e+01
2.777803815670745191e+00,3.369774549091890226e+00,9.297715598821103544e-01,9.467408430596953306e-02,5.691631109469850319e-02,2.330000000000000071e+01
2.800000000000000266e+00,3.399999999999999911e+00,9.393032868881621145e-01,3.054449485421763255e-02,-1.068509840897141801e-02,2.400000000000000000e+01
